Encompass Health Rehabilitation Hospital of Panama City ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY NATIONAL (CHCN) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Ultrasound examination of lower large bowel using an endoscope,45391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Spinal fusion except cervical without major comorbid conditions or complications,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Cervical spinal fusion without comorbid conditions or major comorbid conditions or complications,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of gallbladder using an endoscope,47562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Repair of groin hernia patient age 5 or older,49505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Biopsy of prostate gland,55700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Surgical removal of prostate and surrounding lymph nodes using an endoscope,55866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for vaginal delivery, including pre-and post-delivery care",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for cesarean delivery, including pre-and post-delivery care",59510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Routine obstetric care for vaginal delivery after prior cesarean delivery including pre-and post-delivery care,59610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,64483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of recurring cataract in lens capsule using laser,66821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of cataract with insertion of lens,66984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"CT scan, head or brain, without contrast",70450,$1084.00,$813.00,$758.80,$910.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,$867.20,$910.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$758.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,$867.20
Inpatient Rehabilitation Services,MRI scan of brain before and after contrast,70553,$1893.00,$1419.75,$1325.10,$1590.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1514.40,$1590.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1325.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1514.40
Inpatient Rehabilitation Services,"X-Ray, lower back, minimum four views",72110,$255.00,$191.25,$178.50,$214.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$204.00,$214.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$178.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,$204.00
Inpatient Rehabilitation Services,MRI scan of lower spinal canal,72148,$1433.00,$1074.75,$1003.10,$1203.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1146.40,$1203.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1003.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1146.40
Inpatient Rehabilitation Services,"CT scan, pelvis, with contrast",72193,$1348.00,$1011.00,$943.60,$1132.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1078.40,$1132.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$943.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1078.40
Inpatient Rehabilitation Services,MRI scan of leg joint,73721,$1426.00,$1069.50,$998.20,$1197.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1140.80,$1197.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$998.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1140.80
Inpatient Rehabilitation Services,CT scan of abdomen and pelvis with contrast,74177,$1893.00,$1419.75,$1325.10,$1590.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1514.40,$1590.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1325.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1514.40
Inpatient Rehabilitation Services,Uterine and adnexa procedures for non-malignancy without comorbid conditions or major comorbid conditions or complications,743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound of abdomen,76700,$261.00,$195.75,$182.70,$219.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,$208.80,$219.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$182.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,$208.80
Inpatient Rehabilitation Services,"Abdominal ultrasound of pregnant uterus, greater or equal to 14 weeks 0 days, single or first fetus",76805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound pelvis through vagina,76830,$270.00,$202.50,$189.00,$226.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,$216.00,$226.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$189.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,$216.00
Inpatient Rehabilitation Services,Mammography of one breast,77065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Mammography of both breasts,77066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Mammography, screening, bilateral",77067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Basic metabolic panel,80048,$35.00,$26.25,$24.50,$29.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28.00,$29.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28.00
Inpatient Rehabilitation Services,"Blood test, comprehensive group of blood chemicals",80053,$44.00,$33.00,$30.80,$36.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35.20,$36.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35.20
Inpatient Rehabilitation Services,Obstetric blood test panel,80055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Blood test, lipids",80061,$56.00,$42.00,$39.20,$47.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44.80,$47.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44.80
Inpatient Rehabilitation Services,Kidney function panel test,80069,$36.00,$27.00,$25.20,$30.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28.80,$30.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28.80
Inpatient Rehabilitation Services,Liver function blood test panel,80076,$34.00,$25.50,$23.80,$28.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27.20,$28.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27.20
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81000,$14.00,$10.50,$9.80,$11.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.20,$11.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$9.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.20
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81001,$14.00,$10.50,$9.80,$11.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.20,$11.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$9.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.20
Inpatient Rehabilitation Services,Automated urinalysis test,81002,$11.00,$8.25,$7.70,$9.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.80,$9.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$7.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.80
Inpatient Rehabilitation Services,Automated urinalysis test,81003,$10.00,$7.50,$7.00,$8.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.00,$8.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$7.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.00
Inpatient Rehabilitation Services,Prostate specific antigen,84153,$76.00,$57.00,$53.20,$63.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60.80,$63.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60.80
Inpatient Rehabilitation Services,Prostate specific antigen,84154,$76.00,$57.00,$53.20,$63.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60.80,$63.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60.80
Inpatient Rehabilitation Services,"Blood test, thyroid stimulating hormone",84443,$70.00,$52.50,$49.00,$58.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,$56.00,$58.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,$56.00
Inpatient Rehabilitation Services,"Complete blood cell count, with differential white blood cells, automated",85025,$32.00,$24.00,$22.40,$26.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25.60,$26.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25.60
Inpatient Rehabilitation Services,"Complete blood count, automated",85027,$27.00,$20.25,$18.90,$22.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21.60,$22.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21.60
Inpatient Rehabilitation Services,"Blood test, clotting time",85610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Coagulation assessment blood test,85730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 30 minutes",90832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 45 minutes",90834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 60 minutes",90837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, not including patient, 50 minutes",90846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, including patient, 50 min",90847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Group psychotherapy,90853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Electrocardiogram, routine, with interpretation and report",93000,$166.00,$124.50,$116.20,$139.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,$132.80,$139.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$116.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$132.80
Inpatient Rehabilitation Services,Insertion of catheter into left heart for diagnosis,93452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Sleep study,95810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Physical therapy, therapeutic exercise",97110,$87.00,$65.25,$60.90,$73.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69.60,$73.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69.60
Inpatient Rehabilitation Services,"New patient office or other outpatient visit, typically 30 min",99203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 45 min",99204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 60 min",99205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 40 min",99243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 60 min",99244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 18 to 39",99385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 40 to 64",99386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-A,NA,NA,$11247.81,$13615.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11839.80,NA,NA,NA,NA,NA,NA,NA,$11839.80,NA,NA,$13615.77,$11839.80,NA,$11839.80,$11839.80,NA,$11247.81,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-B,NA,NA,$14816.08,$17935.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15595.87,NA,NA,NA,NA,NA,NA,NA,$15595.87,NA,NA,$17935.25,$15595.87,NA,$15595.87,$15595.87,NA,$14816.08,NA,NA,NA
