SVCCD,Description,GROSS CHARGE,As of Date,DISCOUNTED CASH PRICE INPATIENT ,DISCOUNTED CASH PRICE OUTPATIENT ,DE-IDENTIFIED MIN,DE-IDENTIFIED MAX,Anthem BCBS ,United Healthcare,Anthem Mittal Steel ,Cigna ,Anthem US Steel ,Aetna ,Medpartners,Multiplan/PHCS,Humana ,Sagamore ,Local 697 PNA ,MHS Ambetter Exchange ,Anthem Exchange ,MD Wise Exchange,Anthem Medicaid ,MHS Medicaid ,MD Wise ,Caresource ,Aetna Medicare ,Anthem MA ,Humana MA,United healthcare MA 
1024911,VEEG 12-26HRS CONTIN,14130,10/28/2020,5086.8,7065,1257.57,10102.95,3264.03,2882.52,3490.11,4069.44,3362.94,2458.62,2246.67,5553.09,10102.95,7008.48,2967.3,1949.94,3292.29,6429.15,2006.46,2034.72,2161.89,2218.41,1299.96,1342.35,1328.22,1257.57
1024912,EEG/VEEG SETUP 8CHN,1392,10/28/2020,501.12,696,123.888,995.28,321.552,283.968,343.824,400.896,331.296,242.208,221.328,547.056,995.28,690.432,292.32,192.096,324.336,633.36,197.664,200.448,212.976,218.544,128.064,132.24,130.848,123.888
1030001,AUDIT EVOKE POT COMP,1946,10/28/2020,700.56,973,173.194,1391.39,449.526,396.984,480.662,560.448,463.148,338.604,309.414,764.778,1391.39,965.216,408.66,268.548,453.418,885.43,276.332,280.224,297.738,305.522,179.032,184.87,182.924,173.194
1030003,"EMG, 2 EXTREM",2402,10/28/2020,864.72,1201,213.778,1717.43,554.862,490.008,593.294,691.776,571.676,417.948,381.918,943.986,1717.43,1191.392,504.42,331.476,559.666,1092.91,341.084,345.888,367.506,377.114,220.984,228.19,225.788,213.778
1030008,SOMATO SENS UP LIMBS,1994,10/28/2020,717.84,997,177.466,1425.71,460.614,406.776,492.518,574.272,474.572,346.956,317.046,783.642,1425.71,989.024,418.74,275.172,464.602,907.27,283.148,287.136,305.082,313.058,183.448,189.43,187.436,177.466
1030009,VISUAL EVOK POTENT,1871,10/28/2020,673.56,935.5,166.519,1337.765,432.201,381.684,462.137,538.848,445.298,325.554,297.489,735.303,1337.765,928.016,392.91,258.198,435.943,851.305,265.682,269.424,286.263,293.747,172.132,177.745,175.874,166.519
1030010,BLINK REFLEX ST,1765,10/28/2020,635.4,882.5,157.085,1261.975,407.715,360.06,435.955,508.32,420.07,307.11,280.635,693.645,1261.975,875.44,370.65,243.57,411.245,803.075,250.63,254.16,270.045,277.105,162.38,167.675,165.91,157.085
1030012,"REPETIT STIM, EA NE",1546,10/28/2020,556.56,773,137.594,1105.39,357.126,315.384,381.862,445.248,367.948,269.004,245.814,607.578,1105.39,766.816,324.66,213.348,360.218,703.43,219.532,222.624,236.538,242.722,142.232,146.87,145.324,137.594
1030027,SOMATO BODY OR HEAD,1028,10/28/2020,370.08,514,91.492,735.02,237.468,209.712,253.916,296.064,244.664,178.872,163.452,404.004,735.02,509.888,215.88,141.864,239.524,467.74,145.976,148.032,157.284,161.396,94.576,97.66,96.632,91.492
1030034,SOMATO LOWER LIMBS,1994,10/28/2020,717.84,997,177.466,1425.71,460.614,406.776,492.518,574.272,474.572,346.956,317.046,783.642,1425.71,989.024,418.74,275.172,464.602,907.27,283.148,287.136,305.082,313.058,183.448,189.43,187.436,177.466
1030037,"EMG, CRAN NRVE BILAT",2402,10/28/2020,864.72,1201,213.778,1717.43,554.862,490.008,593.294,691.776,571.676,417.948,381.918,943.986,1717.43,1191.392,504.42,331.476,559.666,1092.91,341.084,345.888,367.506,377.114,220.984,228.19,225.788,213.778
1030039,"C MOTOR EVOK,UP LIMB",1909,10/28/2020,687.24,954.5,169.901,1364.935,440.979,389.436,471.523,549.792,454.342,332.166,303.531,750.237,1364.935,946.864,400.89,263.442,444.797,868.595,271.078,274.896,292.077,299.713,175.628,181.355,179.446,169.901
1030040,"C MOT EVOK,LWR LIMBS",2185,10/28/2020,786.6,1092.5,194.465,1562.275,504.735,445.74,539.695,629.28,520.03,380.19,347.415,858.705,1562.275,1083.76,458.85,301.53,509.105,994.175,310.27,314.64,334.305,343.045,201.02,207.575,205.39,194.465
1030041,"EMG, CRAN NERVE UNI",1200,10/28/2020,432,600,106.8,858,277.2,244.8,296.4,345.6,285.6,208.8,190.8,471.6,858,595.2,252,165.6,279.6,546,170.4,172.8,183.6,188.4,110.4,114,112.8,106.8
1030047,ELECTR STIMULA BRAIN,1455,10/28/2020,523.8,727.5,129.495,1040.325,336.105,296.82,359.385,419.04,346.29,253.17,231.345,571.815,1040.325,721.68,305.55,200.79,339.015,662.025,206.61,209.52,222.615,228.435,133.86,138.225,136.77,129.495
1030048,"EMG, W-NERVE TEST",1200,10/28/2020,432,600,106.8,858,277.2,244.8,296.4,345.6,285.6,208.8,190.8,471.6,858,595.2,252,165.6,279.6,546,170.4,172.8,183.6,188.4,110.4,114,112.8,106.8
1030049,EMG W-NRV TST COM,1200,10/28/2020,432,600,106.8,858,277.2,244.8,296.4,345.6,285.6,208.8,190.8,471.6,858,595.2,252,165.6,279.6,546,170.4,172.8,183.6,188.4,110.4,114,112.8,106.8
1030050,EMG W-NRV TST NON,1200,10/28/2020,432,600,106.8,858,277.2,244.8,296.4,345.6,285.6,208.8,190.8,471.6,858,595.2,252,165.6,279.6,546,170.4,172.8,183.6,188.4,110.4,114,112.8,106.8
1030051,SOMATO LWR-UP LIMBS,3728,10/28/2020,1342.08,1864,331.792,2665.52,861.168,760.512,920.816,1073.664,887.264,648.672,592.752,1465.104,2665.52,1849.088,782.88,514.464,868.624,1696.24,529.376,536.832,570.384,585.296,342.976,354.16,350.432,331.792
1030052,C MOT EVOK ALL LIMBS,4096,10/28/2020,1474.56,2048,364.544,2928.64,946.176,835.584,1011.712,1179.648,974.848,712.704,651.264,1609.728,2928.64,2031.616,860.16,565.248,954.368,1863.68,581.632,589.824,626.688,643.072,376.832,389.12,385.024,364.544
1030059,INOP NRPHYS 1ON1 15M,145,10/28/2020,52.2,72.5,12.905,103.675,33.495,29.58,35.815,41.76,34.51,25.23,23.055,56.985,103.675,71.92,30.45,20.01,33.785,65.975,20.59,20.88,22.185,22.765,13.34,13.775,13.63,12.905
1030060,INOP NRPHYS REMT 1HR,583,10/28/2020,209.88,291.5,51.887,416.845,134.673,118.932,144.001,167.904,138.754,101.442,92.697,229.119,416.845,289.168,122.43,80.454,135.839,265.265,82.786,83.952,89.199,91.531,53.636,55.385,54.802,51.887
1030061,MTR-SENS 1-2 NRV TST,1544,10/28/2020,555.84,772,137.416,1103.96,356.664,314.976,381.368,444.672,367.472,268.656,245.496,606.792,1103.96,765.824,324.24,213.072,359.752,702.52,219.248,222.336,236.232,242.408,142.048,146.68,145.136,137.416
1030062,MTR-SENS 3-4 NRV TST,3086,10/28/2020,1110.96,1543,274.654,2206.49,712.866,629.544,762.242,888.768,734.468,536.964,490.674,1212.798,2206.49,1530.656,648.06,425.868,719.038,1404.13,438.212,444.384,472.158,484.502,283.912,293.17,290.084,274.654
1030063,MTR-SENS 5-6 NRV TST,4628,10/28/2020,1666.08,2314,411.892,3309.02,1069.068,944.112,1143.116,1332.864,1101.464,805.272,735.852,1818.804,3309.02,2295.488,971.88,638.664,1078.324,2105.74,657.176,666.432,708.084,726.596,425.776,439.66,435.032,411.892
1030064,MTR-SENS 7-8 NRV TST,6173,10/28/2020,2222.28,3086.5,549.397,4413.695,1425.963,1259.292,1524.731,1777.824,1469.174,1074.102,981.507,2425.989,4413.695,3061.808,1296.33,851.874,1438.309,2808.715,876.566,888.912,944.469,969.161,567.916,586.435,580.262,549.397
1030065,MTR-SES 9-10 NRV TST,7714,10/28/2020,2777.04,3857,686.546,5515.51,1781.934,1573.656,1905.358,2221.632,1835.932,1342.236,1226.526,3031.602,5515.51,3826.144,1619.94,1064.532,1797.362,3509.87,1095.388,1110.816,1180.242,1211.098,709.688,732.83,725.116,686.546
1030066,MTR-SES 11-12 NRV TS,9259,10/28/2020,3333.24,4629.5,824.051,6620.185,2138.829,1888.836,2286.973,2666.592,2203.642,1611.066,1472.181,3638.787,6620.185,4592.464,1944.39,1277.742,2157.347,4212.845,1314.778,1333.296,1416.627,1453.663,851.828,879.605,870.346,824.051
1030067,MTR-SNS 13 OR MORE,9958,10/28/2020,3584.88,4979,886.262,7119.97,2300.298,2031.432,2459.626,2867.904,2370.004,1732.692,1583.322,3913.494,7119.97,4939.168,2091.18,1374.204,2320.214,4530.89,1414.036,1433.952,1523.574,1563.406,916.136,946.01,936.052,886.262
1030072,ELECTR STIM BRN ADD,1455,10/28/2020,523.8,727.5,129.495,1040.325,336.105,296.82,359.385,419.04,346.29,253.17,231.345,571.815,1040.325,721.68,305.55,200.79,339.015,662.025,206.61,209.52,222.615,228.435,133.86,138.225,136.77,129.495
1030078,ERG- FULL FIELD,2567,10/28/2020,924.12,1283.5,228.463,1835.405,592.977,523.668,634.049,739.296,610.946,446.658,408.153,1008.831,1835.405,1273.232,539.07,354.246,598.111,1167.985,364.514,369.648,392.751,403.019,236.164,243.865,241.298,228.463
1030079,ERG- MULTIFOCAL,1384,10/28/2020,498.24,692,123.176,989.56,319.704,282.336,341.848,398.592,329.392,240.816,220.056,543.912,989.56,686.464,290.64,190.992,322.472,629.72,196.528,199.296,211.752,217.288,127.328,131.48,130.096,123.176
1030080,ERG- PATTERN,1384,10/28/2020,498.24,692,123.176,989.56,319.704,282.336,341.848,398.592,329.392,240.816,220.056,543.912,989.56,686.464,290.64,190.992,322.472,629.72,196.528,199.296,211.752,217.288,127.328,131.48,130.096,123.176
1040020,NI-CARD REHAB W-O MO,337,10/28/2020,121.32,168.5,29.993,240.955,77.847,68.748,83.239,97.056,80.206,58.638,53.583,132.441,240.955,167.152,70.77,46.506,78.521,153.335,47.854,48.528,51.561,52.909,31.004,32.015,31.678,29.993
1040021,NI-CARDI REHAB W- MO,337,10/28/2020,121.32,168.5,29.993,240.955,77.847,68.748,83.239,97.056,80.206,58.638,53.583,132.441,240.955,167.152,70.77,46.506,78.521,153.335,47.854,48.528,51.561,52.909,31.004,32.015,31.678,29.993
1040022,NI-CARD REHAB PH 3,59,10/28/2020,21.24,29.5,5.251,42.185,13.629,12.036,14.573,16.992,14.042,10.266,9.381,23.187,42.185,29.264,12.39,8.142,13.747,26.845,8.378,8.496,9.027,9.263,5.428,5.605,5.546,5.251
1040027,NI-CARD REHAB PH3 MO,36,10/28/2020,12.96,18,3.204,25.74,8.316,7.344,8.892,10.368,8.568,6.264,5.724,14.148,25.74,17.856,7.56,4.968,8.388,16.38,5.112,5.184,5.508,5.652,3.312,3.42,3.384,3.204
1050025,US-CRAN DPLX SCN BIL,1778,10/28/2020,640.08,889,158.242,1271.27,410.718,362.712,439.166,512.064,423.164,309.372,282.702,698.754,1271.27,881.888,373.38,245.364,414.274,808.99,252.476,256.032,272.034,279.146,163.576,168.91,167.132,158.242
1050078,NI-TEE COMP 2D W-WO,3133,10/28/2020,1127.88,1566.5,278.837,2240.095,723.723,639.132,773.851,902.304,745.654,545.142,498.147,1231.269,2240.095,1553.968,657.93,432.354,729.989,1425.515,444.886,451.152,479.349,491.881,288.236,297.635,294.502,278.837
1050079,NI-TTE 2D MM LTD WWO,1898,10/28/2020,683.28,949,168.922,1357.07,438.438,387.192,468.806,546.624,451.724,330.252,301.782,745.914,1357.07,941.408,398.58,261.924,442.234,863.59,269.516,273.312,290.394,297.986,174.616,180.31,178.412,168.922
1050082,NI-TTE CONG COMP WWO,3133,10/28/2020,1127.88,1566.5,278.837,2240.095,723.723,639.132,773.851,902.304,745.654,545.142,498.147,1231.269,2240.095,1553.968,657.93,432.354,729.989,1425.515,444.886,451.152,479.349,491.881,288.236,297.635,294.502,278.837
1050084,NI-TTE CONG COMP WO,2387,10/28/2020,859.32,1193.5,212.443,1706.705,551.397,486.948,589.589,687.456,568.106,415.338,379.533,938.091,1706.705,1183.952,501.27,329.406,556.171,1086.085,338.954,343.728,365.211,374.759,219.604,226.765,224.378,212.443
1050085,NI-TTE CONG LTD WO,2180,10/28/2020,784.8,1090,194.02,1558.7,503.58,444.72,538.46,627.84,518.84,379.32,346.62,856.74,1558.7,1081.28,457.8,300.84,507.94,991.9,309.56,313.92,333.54,342.26,200.56,207.1,204.92,194.02
1050089,NI-TEE COMP 2D MM WO,3051,10/28/2020,1098.36,1525.5,271.539,2181.465,704.781,622.404,753.597,878.688,726.138,530.874,485.109,1199.043,2181.465,1513.296,640.71,421.038,710.883,1388.205,433.242,439.344,466.803,479.007,280.692,289.845,286.794,271.539
1050090,NI-TTE 2D MM LTD WO,1413,10/28/2020,508.68,706.5,125.757,1010.295,326.403,288.252,349.011,406.944,336.294,245.862,224.667,555.309,1010.295,700.848,296.73,194.994,329.229,642.915,200.646,203.472,216.189,221.841,129.996,134.235,132.822,125.757
1050092,NI-TTE 2D W DOPP,2385,10/28/2020,858.6,1192.5,212.265,1705.275,550.935,486.54,589.095,686.88,567.63,414.99,379.215,937.305,1705.275,1182.96,500.85,329.13,555.705,1085.175,338.67,343.44,364.905,374.445,219.42,226.575,224.19,212.265
1050103,P-PREOP ICD DEV EVAL,216,10/28/2020,77.76,108,19.224,154.44,49.896,44.064,53.352,62.208,51.408,37.584,34.344,84.888,154.44,107.136,45.36,29.808,50.328,98.28,30.672,31.104,33.048,33.912,19.872,20.52,20.304,19.224
1050115,NI-TTE 2D W DOPP WWO,3132,10/28/2020,1127.52,1566,278.748,2239.38,723.492,638.928,773.604,902.016,745.416,544.968,497.988,1230.876,2239.38,1553.472,657.72,432.216,729.756,1425.06,444.744,451.008,479.196,491.724,288.144,297.54,294.408,278.748
1050116,NI-TTE STRES CON WWO,3132,10/28/2020,1127.52,1566,278.748,2239.38,723.492,638.928,773.604,902.016,745.416,544.968,497.988,1230.876,2239.38,1553.472,657.72,432.216,729.756,1425.06,444.744,451.008,479.196,491.724,288.144,297.54,294.408,278.748
1050117,NI-TTE STRESS CON WO,2385,10/28/2020,858.6,1192.5,212.265,1705.275,550.935,486.54,589.095,686.88,567.63,414.99,379.215,937.305,1705.275,1182.96,500.85,329.13,555.705,1085.175,338.67,343.44,364.905,374.445,219.42,226.575,224.19,212.265
1054914,INT DV EVAL RMT IMPL,964,10/28/2020,347.04,482,85.796,689.26,222.684,196.656,238.108,277.632,229.432,167.736,153.276,378.852,689.26,478.144,202.44,133.032,224.612,438.62,136.888,138.816,147.492,151.348,88.688,91.58,90.616,85.796
1054915,INT DV EVAL RMT SUBQ,964,10/28/2020,347.04,482,85.796,689.26,222.684,196.656,238.108,277.632,229.432,167.736,153.276,378.852,689.26,478.144,202.44,133.032,224.612,438.62,136.888,138.816,147.492,151.348,88.688,91.58,90.616,85.796
1061229,CC-ILIAC ANG W-CATH,965,10/28/2020,347.4,482.5,85.885,689.975,222.915,196.86,238.355,277.92,229.67,167.91,153.435,379.245,689.975,478.64,202.65,133.17,224.845,439.075,137.03,138.96,147.645,151.505,88.78,91.675,90.71,85.885
1061232,CC-INSERT IABP,10196,10/28/2020,3670.56,5098,907.444,7290.14,2355.276,2079.984,2518.412,2936.448,2426.648,1774.104,1621.164,4007.028,7290.14,5057.216,2141.16,1407.048,2375.668,4639.18,1447.832,1468.224,1559.988,1600.772,938.032,968.62,958.424,907.444
1061233,CC-REMOVE IABP,184,10/28/2020,66.24,92,16.376,131.56,42.504,37.536,45.448,52.992,43.792,32.016,29.256,72.312,131.56,91.264,38.64,25.392,42.872,83.72,26.128,26.496,28.152,28.888,16.928,17.48,17.296,16.376
1061234,CC-IV THROMBOLYSIS,919,10/28/2020,330.84,459.5,81.791,657.085,212.289,187.476,226.993,264.672,218.722,159.906,146.121,361.167,657.085,455.824,192.99,126.822,214.127,418.145,130.498,132.336,140.607,144.283,84.548,87.305,86.386,81.791
1061235,CC-INTRACOR THROMBO,3272,10/28/2020,1177.92,1636,291.208,2339.48,755.832,667.488,808.184,942.336,778.736,569.328,520.248,1285.896,2339.48,1622.912,687.12,451.536,762.376,1488.76,464.624,471.168,500.616,513.704,301.024,310.84,307.568,291.208
1061237,IC-ASD CLS PERC W-IM,78059,10/28/2020,28101.24,39029.5,6947.251,55812.185,18031.629,15924.036,19280.573,22480.992,18578.042,13582.266,12411.381,30677.187,55812.185,38717.264,16392.39,10772.142,18187.747,35516.845,11084.378,11240.496,11943.027,12255.263,7181.428,7415.605,7337.546,6947.251
1061239,IC-COR THROMBECTOMY,21374,10/28/2020,7694.64,10687,1902.286,15282.41,4937.394,4360.296,5279.378,6155.712,5087.012,3719.076,3398.466,8399.982,15282.41,10601.504,4488.54,2949.612,4980.142,9725.17,3035.108,3077.856,3270.222,3355.718,1966.408,2030.53,2009.156,1902.286
1061240,IC-BRACYTHER  CORON,20458,10/28/2020,7364.88,10229,1820.762,14627.47,4725.798,4173.432,5053.126,5891.904,4869.004,3559.692,3252.822,8039.994,14627.47,10147.168,4296.18,2823.204,4766.714,9308.39,2905.036,2945.952,3130.074,3211.906,1882.136,1943.51,1923.052,1820.762
1061242,"IC-IVUS, INIT",15775,10/28/2020,5679,7887.5,1403.975,11279.125,3644.025,3218.1,3896.425,4543.2,3754.45,2744.85,2508.225,6199.575,11279.125,7824.4,3312.75,2176.95,3675.575,7177.625,2240.05,2271.6,2413.575,2476.675,1451.3,1498.625,1482.85,1403.975
1061243,"IC-IVUS, ADDL",14339,10/28/2020,5162.04,7169.5,1276.171,10252.385,3312.309,2925.156,3541.733,4129.632,3412.682,2494.986,2279.901,5635.227,10252.385,7112.144,3011.19,1978.782,3340.987,6524.245,2036.138,2064.816,2193.867,2251.223,1319.188,1362.205,1347.866,1276.171
1061246,"IC-PTCA, SINGLE",21390,10/28/2020,7700.4,10695,1903.71,15293.85,4941.09,4363.56,5283.33,6160.32,5090.82,3721.86,3401.01,8406.27,15293.85,10609.44,4491.9,2951.82,4983.87,9732.45,3037.38,3080.16,3272.67,3358.23,1967.88,2032.05,2010.66,1903.71
1061247,"IC-PTCA, ADDL",18481,10/28/2020,6653.16,9240.5,1644.809,13213.915,4269.111,3770.124,4564.807,5322.528,4398.478,3215.694,2938.479,7263.033,13213.915,9166.576,3881.01,2550.378,4306.073,8408.855,2624.302,2661.264,2827.593,2901.517,1700.252,1755.695,1737.214,1644.809
1061248,IC-VALVPLSTY AORTIC,21960,10/28/2020,7905.6,10980,1954.44,15701.4,5072.76,4479.84,5424.12,6324.48,5226.48,3821.04,3491.64,8630.28,15701.4,10892.16,4611.6,3030.48,5116.68,9991.8,3118.32,3162.24,3359.88,3447.72,2020.32,2086.2,2064.24,1954.44
1061251,IC-ATHERCT CORO INI,32790,10/28/2020,11804.4,16395,2918.31,23444.85,7574.49,6689.16,8099.13,9443.52,7804.02,5705.46,5213.61,12886.47,23444.85,16263.84,6885.9,4525.02,7640.07,14919.45,4656.18,4721.76,5016.87,5148.03,3016.68,3115.05,3082.26,2918.31
1061252,IC-ATHERECT CORO ADD,29612,10/28/2020,10660.32,14806,2635.468,21172.58,6840.372,6040.848,7314.164,8528.256,7047.656,5152.488,4708.308,11637.516,21172.58,14687.552,6218.52,4086.456,6899.596,13473.46,4204.904,4264.128,4530.636,4649.084,2724.304,2813.14,2783.528,2635.468
1061259,"EP-EVAL GEN, INDUC",4831,10/28/2020,1739.16,2415.5,429.959,3454.165,1115.961,985.524,1193.257,1391.328,1149.778,840.594,768.129,1898.583,3454.165,2396.176,1014.51,666.678,1125.623,2198.105,686.002,695.664,739.143,758.467,444.452,458.945,454.114,429.959
1061260,EP-EVAL PREV DEVICE,4831,10/28/2020,1739.16,2415.5,429.959,3454.165,1115.961,985.524,1193.257,1391.328,1149.778,840.594,768.129,1898.583,3454.165,2396.176,1014.51,666.678,1125.623,2198.105,686.002,695.664,739.143,758.467,444.452,458.945,454.114,429.959
1061261,EP-ABLATE AV NODE,58420,10/28/2020,21031.2,29210,5199.38,41770.3,13495.02,11917.68,14429.74,16824.96,13903.96,10165.08,9288.78,22959.06,41770.3,28976.32,12268.2,8061.96,13611.86,26581.1,8295.64,8412.48,8938.26,9171.94,5374.64,5549.9,5491.48,5199.38
1061264,EP-INTCRD ECHO INTER,7103,10/28/2020,2557.08,3551.5,632.167,5078.645,1640.793,1449.012,1754.441,2045.664,1690.514,1235.922,1129.377,2791.479,5078.645,3523.088,1491.63,980.214,1654.999,3231.865,1008.626,1022.832,1086.759,1115.171,653.476,674.785,667.682,632.167
1061265,P-INS GEN-LEAD ATR,49740,10/28/2020,17906.4,24870,4426.86,35564.1,11489.94,10146.96,12285.78,14325.12,11838.12,8654.76,7908.66,19547.82,35564.1,24671.04,10445.4,6864.12,11589.42,22631.7,7063.08,7162.56,7610.22,7809.18,4576.08,4725.3,4675.56,4426.86
1061266,P-INS GEN-LEAD VEN,49740,10/28/2020,17906.4,24870,4426.86,35564.1,11489.94,10146.96,12285.78,14325.12,11838.12,8654.76,7908.66,19547.82,35564.1,24671.04,10445.4,6864.12,11589.42,22631.7,7063.08,7162.56,7610.22,7809.18,4576.08,4725.3,4675.56,4426.86
1061267,P-INS DUAL PAC SYS,58420,10/28/2020,21031.2,29210,5199.38,41770.3,13495.02,11917.68,14429.74,16824.96,13903.96,10165.08,9288.78,22959.06,41770.3,28976.32,12268.2,8061.96,13611.86,26581.1,8295.64,8412.48,8938.26,9171.94,5374.64,5549.9,5491.48,5199.38
1061268,P-INS TMP PAC LD SGL,25032,10/28/2020,9011.52,12516,2227.848,17897.88,5782.392,5106.528,6182.904,7209.216,5957.616,4355.568,3980.088,9837.576,17897.88,12415.872,5256.72,3454.416,5832.456,11389.56,3554.544,3604.608,3829.896,3930.024,2302.944,2378.04,2353.008,2227.848
1061269,P-INS TMP PAC LD DUA,25032,10/28/2020,9011.52,12516,2227.848,17897.88,5782.392,5106.528,6182.904,7209.216,5957.616,4355.568,3980.088,9837.576,17897.88,12415.872,5256.72,3454.416,5832.456,11389.56,3554.544,3604.608,3829.896,3930.024,2302.944,2378.04,2353.008,2227.848
