Encompass Health Rehabilitation Hospital of Gadsden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,BC FEP (BCFD) negotiated charge,BC/BS ALABAMA (BCAL) negotiated charge,BCBS AL MEDICARE ADVANTAG (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HLTHCARE MEDICARE (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Ultrasound examination of lower large bowel using an endoscope,45391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Spinal fusion except cervical without major comorbid conditions or complications,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Cervical spinal fusion without comorbid conditions or major comorbid conditions or complications,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of gallbladder using an endoscope,47562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Repair of groin hernia patient age 5 or older,49505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Biopsy of prostate gland,55700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Surgical removal of prostate and surrounding lymph nodes using an endoscope,55866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for vaginal delivery, including pre-and post-delivery care",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for cesarean delivery, including pre-and post-delivery care",59510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Routine obstetric care for vaginal delivery after prior cesarean delivery including pre-and post-delivery care,59610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,64483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of recurring cataract in lens capsule using laser,66821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of cataract with insertion of lens,66984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"CT scan, head or brain, without contrast",70450,$1535.00,$1151.25,$1074.50,$1289.40,NA,NA,NA,NA,NA,NA,NA,$1228.00,$1289.40,NA,NA,NA,NA,NA,$1074.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1228.00
Inpatient Rehabilitation Services,MRI scan of brain before and after contrast,70553,$2662.00,$1996.50,$1863.40,$2236.08,NA,NA,NA,NA,NA,NA,NA,$2129.60,$2236.08,NA,NA,NA,NA,NA,$1863.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2129.60
Inpatient Rehabilitation Services,"X-Ray, lower back, minimum four views",72110,$196.00,$147.00,$137.20,$164.64,NA,NA,NA,NA,NA,NA,NA,$156.80,$164.64,NA,NA,NA,NA,NA,$137.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$156.80
Inpatient Rehabilitation Services,MRI scan of lower spinal canal,72148,$2040.00,$1530.00,$1428.00,$1713.60,NA,NA,NA,NA,NA,NA,NA,$1632.00,$1713.60,NA,NA,NA,NA,NA,$1428.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1632.00
Inpatient Rehabilitation Services,"CT scan, pelvis, with contrast",72193,$1828.00,$1371.00,$1279.60,$1535.52,NA,NA,NA,NA,NA,NA,NA,$1462.40,$1535.52,NA,NA,NA,NA,NA,$1279.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1462.40
Inpatient Rehabilitation Services,MRI scan of leg joint,73721,$2040.00,$1530.00,$1428.00,$1713.60,NA,NA,NA,NA,NA,NA,NA,$1632.00,$1713.60,NA,NA,NA,NA,NA,$1428.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1632.00
Inpatient Rehabilitation Services,CT scan of abdomen and pelvis with contrast,74177,$2662.00,$1996.50,$1863.40,$2236.08,NA,NA,NA,NA,NA,NA,NA,$2129.60,$2236.08,NA,NA,NA,NA,NA,$1863.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2129.60
Inpatient Rehabilitation Services,Uterine and adnexa procedures for non-malignancy without comorbid conditions or major comorbid conditions or complications,743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound of abdomen,76700,$223.00,$167.25,$156.10,$187.32,NA,NA,NA,NA,NA,NA,NA,$178.40,$187.32,NA,NA,NA,NA,NA,$156.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,$178.40
Inpatient Rehabilitation Services,"Abdominal ultrasound of pregnant uterus, greater or equal to 14 weeks 0 days, single or first fetus",76805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound pelvis through vagina,76830,$270.00,$202.50,$189.00,$226.80,NA,NA,NA,NA,NA,NA,NA,$216.00,$226.80,NA,NA,NA,NA,NA,$189.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,$216.00
Inpatient Rehabilitation Services,Mammography of one breast,77065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Mammography of both breasts,77066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Mammography, screening, bilateral",77067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Basic metabolic panel,80048,$29.00,$21.75,$20.30,$24.36,NA,NA,NA,NA,NA,NA,NA,$23.20,$24.36,NA,NA,NA,NA,NA,$20.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23.20
Inpatient Rehabilitation Services,"Blood test, comprehensive group of blood chemicals",80053,$36.00,$27.00,$25.20,$30.24,NA,NA,NA,NA,NA,NA,NA,$28.80,$30.24,NA,NA,NA,NA,NA,$25.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28.80
Inpatient Rehabilitation Services,Obstetric blood test panel,80055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Blood test, lipids",80061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Kidney function panel test,80069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Liver function blood test panel,80076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81000,$13.00,$9.75,$9.10,$10.92,NA,NA,NA,NA,NA,NA,NA,$10.40,$10.92,NA,NA,NA,NA,NA,$9.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,$10.40
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81001,$11.00,$8.25,$7.70,$9.24,NA,NA,NA,NA,NA,NA,NA,$8.80,$9.24,NA,NA,NA,NA,NA,$7.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.80
Inpatient Rehabilitation Services,Automated urinalysis test,81002,$11.00,$8.25,$7.70,$9.24,NA,NA,NA,NA,NA,NA,NA,$8.80,$9.24,NA,NA,NA,NA,NA,$7.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.80
Inpatient Rehabilitation Services,Automated urinalysis test,81003,$8.00,$6.00,$5.60,$6.72,NA,NA,NA,NA,NA,NA,NA,$6.40,$6.72,NA,NA,NA,NA,NA,$5.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,$6.40
Inpatient Rehabilitation Services,Prostate specific antigen,84153,$62.00,$46.50,$43.40,$52.08,NA,NA,NA,NA,NA,NA,NA,$49.60,$52.08,NA,NA,NA,NA,NA,$43.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49.60
Inpatient Rehabilitation Services,Prostate specific antigen,84154,$62.00,$46.50,$43.40,$52.08,NA,NA,NA,NA,NA,NA,NA,$49.60,$52.08,NA,NA,NA,NA,NA,$43.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49.60
Inpatient Rehabilitation Services,"Blood test, thyroid stimulating hormone",84443,$57.00,$42.75,$39.90,$47.88,NA,NA,NA,NA,NA,NA,NA,$45.60,$47.88,NA,NA,NA,NA,NA,$39.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45.60
Inpatient Rehabilitation Services,"Complete blood cell count, with differential white blood cells, automated",85025,$26.00,$19.50,$18.20,$21.84,NA,NA,NA,NA,NA,NA,NA,$20.80,$21.84,NA,NA,NA,NA,NA,$18.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20.80
Inpatient Rehabilitation Services,"Complete blood count, automated",85027,$22.00,$16.50,$15.40,$18.48,NA,NA,NA,NA,NA,NA,NA,$17.60,$18.48,NA,NA,NA,NA,NA,$15.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17.60
Inpatient Rehabilitation Services,"Blood test, clotting time",85610,$14.00,$10.50,$9.80,$11.76,NA,NA,NA,NA,NA,NA,NA,$11.20,$11.76,NA,NA,NA,NA,NA,$9.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.20
Inpatient Rehabilitation Services,Coagulation assessment blood test,85730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 30 minutes",90832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 45 minutes",90834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 60 minutes",90837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, not including patient, 50 minutes",90846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, including patient, 50 min",90847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Group psychotherapy,90853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Electrocardiogram, routine, with interpretation and report",93000,$166.00,$124.50,$116.20,$139.44,NA,NA,NA,NA,NA,NA,NA,$132.80,$139.44,NA,NA,NA,NA,NA,$116.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$132.80
Inpatient Rehabilitation Services,Insertion of catheter into left heart for diagnosis,93452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Sleep study,95810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Physical therapy, therapeutic exercise",97110,$87.00,$65.25,$60.90,$73.08,NA,NA,NA,NA,NA,NA,NA,$69.60,$73.08,NA,NA,NA,NA,NA,$60.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69.60
Inpatient Rehabilitation Services,"New patient office or other outpatient visit, typically 30 min",99203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 45 min",99204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 60 min",99205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 40 min",99243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 60 min",99244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 18 to 39",99385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 40 to 64",99386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-A,NA,NA,$9682.12,$11720.46,NA,NA,NA,NA,NA,$9885.96,NA,NA,NA,$10191.71,NA,$10191.71,NA,$10191.71,NA,$11720.46,$10191.71,$10191.71,$10191.71,NA,$9682.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-B,NA,NA,$12753.69,$15438.68,NA,NA,NA,NA,NA,$13022.19,NA,NA,NA,$13424.94,NA,$13424.94,NA,$13424.94,NA,$15438.68,$13424.94,$13424.94,$13424.94,NA,$12753.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-C,NA,NA,$10903.83,$13199.37,NA,NA,NA,NA,NA,$11133.38,NA,NA,NA,$11477.71,NA,$11477.71,NA,$11477.71,NA,$13199.37,$11477.71,$11477.71,$11477.71,NA,$10903.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-D,NA,NA,$10117.39,$12247.36,NA,NA,NA,NA,NA,$10330.38,NA,NA,NA,$10649.88,NA,$10649.88,NA,$10649.88,NA,$12247.36,$10649.88,$10649.88,$10649.88,NA,$10117.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-A,NA,NA,$12366.66,$14970.16,NA,NA,NA,NA,NA,$12627.01,NA,NA,NA,$13017.53,NA,$13017.53,NA,$13017.53,NA,$14970.16,$13017.53,$13017.53,$13017.53,NA,$12366.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-B,NA,NA,$16290.20,$19719.72,NA,NA,NA,NA,NA,$16633.15,NA,NA,NA,$17147.58,NA,$17147.58,NA,$17147.58,NA,$19719.72,$17147.58,$17147.58,$17147.58,NA,$16290.20,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-C,NA,NA,$13925.93,$16857.71,NA,NA,NA,NA,NA,$14219.11,NA,NA,NA,$14658.88,NA,$14658.88,NA,$14658.88,NA,$16857.71,$14658.88,$14658.88,$14658.88,NA,$13925.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-D,NA,NA,$12923.10,$15643.75,NA,NA,NA,NA,NA,$13195.16,NA,NA,NA,$13603.26,NA,$13603.26,NA,$13603.26,NA,$15643.75,$13603.26,$13603.26,$13603.26,NA,$12923.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-A,NA,NA,$15814.13,$19143.43,NA,NA,NA,NA,NA,$16147.06,NA,NA,NA,$16646.46,NA,$16646.46,NA,$16646.46,NA,$19143.43,$16646.46,$16646.46,$16646.46,NA,$15814.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-B,NA,NA,$20830.78,$25216.21,NA,NA,NA,NA,NA,$21269.33,NA,NA,NA,$21927.14,NA,$21927.14,NA,$21927.14,NA,$25216.21,$21927.14,$21927.14,$21927.14,NA,$20830.78,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-C,NA,NA,$17807.44,$21556.37,NA,NA,NA,NA,NA,$18182.33,NA,NA,NA,$18744.67,NA,$18744.67,NA,$18744.67,NA,$21556.37,$18744.67,$18744.67,$18744.67,NA,$17807.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-D,NA,NA,$16523.91,$20002.63,NA,NA,NA,NA,NA,$16871.78,NA,NA,NA,$17393.59,NA,$17393.59,NA,$17393.59,NA,$20002.63,$17393.59,$17393.59,$17393.59,NA,$16523.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-A,NA,NA,$20545.14,$24870.44,NA,NA,NA,NA,NA,$20977.67,NA,NA,NA,$21626.47,NA,$21626.47,NA,$21626.47,NA,$24870.44,$21626.47,$21626.47,$21626.47,NA,$20545.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-B,NA,NA,$27062.95,$32760.42,NA,NA,NA,NA,NA,$27632.70,NA,NA,NA,$28487.32,NA,$28487.32,NA,$28487.32,NA,$32760.42,$28487.32,$28487.32,$28487.32,NA,$27062.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-C,NA,NA,$23135.70,$28006.37,NA,NA,NA,NA,NA,$23622.77,NA,NA,NA,$24353.37,NA,$24353.37,NA,$24353.37,NA,$28006.37,$24353.37,$24353.37,$24353.37,NA,$23135.70,NA,NA,NA,NA
