Encompass Health Rehabilitation Hospital of Altamonte Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL NETWORK BLUE (BCNB) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HUMANA MILITARY HEALTH (TRI) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,ONECALL MEDICAL (OCL) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Ultrasound examination of lower large bowel using an endoscope,45391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Spinal fusion except cervical without major comorbid conditions or complications,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Cervical spinal fusion without comorbid conditions or major comorbid conditions or complications,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of gallbladder using an endoscope,47562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Repair of groin hernia patient age 5 or older,49505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Biopsy of prostate gland,55700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Surgical removal of prostate and surrounding lymph nodes using an endoscope,55866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for vaginal delivery, including pre-and post-delivery care",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for cesarean delivery, including pre-and post-delivery care",59510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Routine obstetric care for vaginal delivery after prior cesarean delivery including pre-and post-delivery care,59610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,64483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of recurring cataract in lens capsule using laser,66821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of cataract with insertion of lens,66984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"CT scan, head or brain, without contrast",70450,$1084.00,$813.00,$758.80,$867.20,NA,NA,NA,NA,NA,NA,NA,NA,$867.20,$867.20,NA,NA,$758.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$867.20
Inpatient Rehabilitation Services,MRI scan of brain before and after contrast,70553,$1893.00,$1419.75,$1325.10,$1514.40,NA,NA,NA,NA,NA,NA,NA,NA,$1514.40,$1514.40,NA,NA,$1325.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1514.40
Inpatient Rehabilitation Services,"X-Ray, lower back, minimum four views",72110,$255.00,$191.25,$178.50,$204.00,NA,NA,NA,NA,NA,NA,NA,NA,$204.00,$204.00,NA,NA,$178.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$204.00
Inpatient Rehabilitation Services,MRI scan of lower spinal canal,72148,$1433.00,$1074.75,$1003.10,$1146.40,NA,NA,NA,NA,NA,NA,NA,NA,$1146.40,$1146.40,NA,NA,$1003.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1146.40
Inpatient Rehabilitation Services,"CT scan, pelvis, with contrast",72193,$1348.00,$1011.00,$943.60,$1078.40,NA,NA,NA,NA,NA,NA,NA,NA,$1078.40,$1078.40,NA,NA,$943.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1078.40
Inpatient Rehabilitation Services,MRI scan of leg joint,73721,$1426.00,$1069.50,$998.20,$1140.80,NA,NA,NA,NA,NA,NA,NA,NA,$1140.80,$1140.80,NA,NA,$998.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1140.80
Inpatient Rehabilitation Services,CT scan of abdomen and pelvis with contrast,74177,$1893.00,$1419.75,$1325.10,$1514.40,NA,NA,NA,NA,NA,NA,NA,NA,$1514.40,$1514.40,NA,NA,$1325.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1514.40
Inpatient Rehabilitation Services,Uterine and adnexa procedures for non-malignancy without comorbid conditions or major comorbid conditions or complications,743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound of abdomen,76700,$261.00,$195.75,$182.70,$208.80,NA,NA,NA,NA,NA,NA,NA,NA,$208.80,$208.80,NA,NA,$182.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$208.80
Inpatient Rehabilitation Services,"Abdominal ultrasound of pregnant uterus, greater or equal to 14 weeks 0 days, single or first fetus",76805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound pelvis through vagina,76830,$270.00,$202.50,$189.00,$216.00,NA,NA,NA,NA,NA,NA,NA,NA,$216.00,$216.00,NA,NA,$189.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$216.00
Inpatient Rehabilitation Services,Mammography of one breast,77065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Mammography of both breasts,77066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Mammography, screening, bilateral",77067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Basic metabolic panel,80048,$39.12,$29.34,$27.38,$31.30,NA,NA,NA,NA,NA,NA,NA,NA,$31.30,$31.30,NA,NA,$27.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31.30
Inpatient Rehabilitation Services,"Blood test, comprehensive group of blood chemicals",80053,$39.12,$29.34,$27.38,$31.30,NA,NA,NA,NA,NA,NA,NA,NA,$31.30,$31.30,NA,NA,$27.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31.30
Inpatient Rehabilitation Services,Obstetric blood test panel,80055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Blood test, lipids",80061,$33.21,$24.91,$23.25,$26.57,NA,NA,NA,NA,NA,NA,NA,NA,$26.57,$26.57,NA,NA,$23.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26.57
Inpatient Rehabilitation Services,Kidney function panel test,80069,$47.73,$35.80,$33.41,$38.18,NA,NA,NA,NA,NA,NA,NA,NA,$38.18,$38.18,NA,NA,$33.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38.18
Inpatient Rehabilitation Services,Liver function blood test panel,80076,$40.05,$30.04,$28.04,$32.04,NA,NA,NA,NA,NA,NA,NA,NA,$32.04,$32.04,NA,NA,$28.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32.04
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81000,$21.57,$16.18,$15.10,$17.26,NA,NA,NA,NA,NA,NA,NA,NA,$17.26,$17.26,NA,NA,$15.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17.26
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81001,$21.57,$16.18,$15.10,$17.26,NA,NA,NA,NA,NA,NA,NA,NA,$17.26,$17.26,NA,NA,$15.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17.26
Inpatient Rehabilitation Services,Automated urinalysis test,81002,$17.46,$13.10,$12.22,$13.97,NA,NA,NA,NA,NA,NA,NA,NA,$13.97,$13.97,NA,NA,$12.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13.97
Inpatient Rehabilitation Services,Automated urinalysis test,81003,$17.46,$13.10,$12.22,$13.97,NA,NA,NA,NA,NA,NA,NA,NA,$13.97,$13.97,NA,NA,$12.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13.97
Inpatient Rehabilitation Services,Prostate specific antigen,84153,$106.65,$79.99,$74.66,$85.32,NA,NA,NA,NA,NA,NA,NA,NA,$85.32,$85.32,NA,NA,$74.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$85.32
Inpatient Rehabilitation Services,Prostate specific antigen,84154,$79.77,$59.83,$55.84,$63.82,NA,NA,NA,NA,NA,NA,NA,NA,$63.82,$63.82,NA,NA,$55.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$63.82
Inpatient Rehabilitation Services,"Blood test, thyroid stimulating hormone",84443,$41.40,$31.05,$28.98,$33.12,NA,NA,NA,NA,NA,NA,NA,NA,$33.12,$33.12,NA,NA,$28.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33.12
Inpatient Rehabilitation Services,"Complete blood cell count, with differential white blood cells, automated",85025,$14.79,$11.09,$10.35,$11.83,NA,NA,NA,NA,NA,NA,NA,NA,$11.83,$11.83,NA,NA,$10.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.83
Inpatient Rehabilitation Services,"Complete blood count, automated",85027,$14.25,$10.69,$9.98,$11.40,NA,NA,NA,NA,NA,NA,NA,NA,$11.40,$11.40,NA,NA,$9.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.40
Inpatient Rehabilitation Services,"Blood test, clotting time",85610,$12.87,$9.65,$9.01,$10.30,NA,NA,NA,NA,NA,NA,NA,NA,$10.30,$10.30,NA,NA,$9.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$10.30
Inpatient Rehabilitation Services,Coagulation assessment blood test,85730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 30 minutes",90832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 45 minutes",90834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 60 minutes",90837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, not including patient, 50 minutes",90846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, including patient, 50 min",90847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Group psychotherapy,90853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Electrocardiogram, routine, with interpretation and report",93000,$166.00,$124.50,$116.20,$132.80,NA,NA,NA,NA,NA,NA,NA,NA,$132.80,$132.80,NA,NA,$116.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$132.80
Inpatient Rehabilitation Services,Insertion of catheter into left heart for diagnosis,93452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Sleep study,95810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Physical therapy, therapeutic exercise",97110,$87.00,$65.25,$60.90,$69.60,NA,NA,NA,NA,NA,NA,NA,NA,$69.60,$69.60,NA,NA,$60.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69.60
Inpatient Rehabilitation Services,"New patient office or other outpatient visit, typically 30 min",99203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 45 min",99204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 60 min",99205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 40 min",99243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 60 min",99244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 18 to 39",99385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 40 to 64",99386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-A,NA,NA,$12238.15,$14075.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24477.50,NA,NA,NA,NA,$24477.50,$24477.50,$24477.50,NA,NA,$28149.12,$24477.50,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-B,NA,NA,$16120.60,$18540.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32242.77,NA,NA,NA,NA,$32242.77,$32242.77,$32242.77,NA,NA,$37079.19,$32242.77,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-C,NA,NA,$13782.38,$15851.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27566.10,NA,NA,NA,NA,$27566.10,$27566.10,$27566.10,NA,NA,$31701.01,$27566.10,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-D,NA,NA,$12788.32,$14708.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25577.89,NA,NA,NA,NA,$25577.89,$25577.89,$25577.89,NA,NA,$29414.58,$25577.89,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-A,NA,NA,$15631.38,$17977.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31264.29,NA,NA,NA,NA,$31264.29,$31264.29,$31264.29,NA,NA,$35953.94,$31264.29,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-B,NA,NA,$20590.72,$23681.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41183.46,NA,NA,NA,NA,$41183.46,$41183.46,$41183.46,NA,NA,$47360.98,$41183.46,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-C,NA,NA,$17602.30,$20244.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35206.33,NA,NA,NA,NA,$35206.33,$35206.33,$35206.33,NA,NA,$40487.28,$35206.33,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-D,NA,NA,$16334.72,$18786.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32671.04,NA,NA,NA,NA,$32671.04,$32671.04,$32671.04,NA,NA,$37571.70,$32671.04,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-A,NA,NA,$19988.98,$22989.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39979.91,NA,NA,NA,NA,$39979.91,$39979.91,$39979.91,NA,NA,$45976.89,$39979.91,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-B,NA,NA,$26329.99,$30282.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52662.56,NA,NA,NA,NA,$52662.56,$52662.56,$52662.56,NA,NA,$60561.95,$52662.56,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-C,NA,NA,$22508.50,$25887.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45019.21,NA,NA,NA,NA,$45019.21,$45019.21,$45019.21,NA,NA,$51772.09,$45019.21,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-D,NA,NA,$20886.13,$24021.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41774.30,NA,NA,NA,NA,$41774.30,$41774.30,$41774.30,NA,NA,$48040.45,$41774.30,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-A,NA,NA,$25968.95,$29867.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$51940.44,NA,NA,NA,NA,$51940.44,$51940.44,$51940.44,NA,NA,$59731.50,$51940.44,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-B,NA,NA,$34207.42,$39342.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$68418.19,NA,NA,NA,NA,$68418.19,$68418.19,$68418.19,NA,NA,$78680.93,$68418.19,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-C,NA,NA,$29243.39,$33633.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$58489.65,NA,NA,NA,NA,$58489.65,$58489.65,$58489.65,NA,NA,$67263.09,$58489.65,NA,NA,NA
