Encompass Health Rehabilitation Hospital of Littleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WC ACCESS (AETW) negotiated charge,ANTHEM BC OF CO MEDICARE (BCAM) negotiated charge,ANTHEM BC OF COLORADO (BCAC) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CHOICE CARE NETWORK MCR (CHOM) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COVENTRY (CHC) negotiated charge,COVENTRY WORK COMP (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WC (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE (PIN) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PRIME HEALTH SERVICES (PRH) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Ultrasound examination of lower large bowel using an endoscope,45391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Spinal fusion except cervical without major comorbid conditions or complications,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Cervical spinal fusion without comorbid conditions or major comorbid conditions or complications,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of gallbladder using an endoscope,47562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Repair of groin hernia patient age 5 or older,49505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Biopsy of prostate gland,55700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Surgical removal of prostate and surrounding lymph nodes using an endoscope,55866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for vaginal delivery, including pre-and post-delivery care",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for cesarean delivery, including pre-and post-delivery care",59510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Routine obstetric care for vaginal delivery after prior cesarean delivery including pre-and post-delivery care,59610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,64483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of recurring cataract in lens capsule using laser,66821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of cataract with insertion of lens,66984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"CT scan, head or brain, without contrast",70450,$1084.00,$813.00,$715.44,$867.20,NA,NA,NA,NA,NA,NA,NA,NA,$867.20,$867.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$715.44,$715.44,$758.80,$758.80,NA,NA,NA,NA,NA,NA,NA,$720.86,$867.20
Inpatient Rehabilitation Services,MRI scan of brain before and after contrast,70553,$1893.00,$1419.75,$1249.38,$1514.40,NA,NA,NA,NA,NA,NA,NA,NA,$1514.40,$1514.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1249.38,$1249.38,$1325.10,$1325.10,NA,NA,NA,NA,NA,NA,NA,$1258.85,$1514.40
Inpatient Rehabilitation Services,"X-Ray, lower back, minimum four views",72110,$255.00,$191.25,$168.30,$204.00,NA,NA,NA,NA,NA,NA,NA,NA,$204.00,$204.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$168.30,$168.30,$178.50,$178.50,NA,NA,NA,NA,NA,NA,NA,$169.58,$204.00
Inpatient Rehabilitation Services,MRI scan of lower spinal canal,72148,$1433.00,$1074.75,$945.78,$1146.40,NA,NA,NA,NA,NA,NA,NA,NA,$1146.40,$1146.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$945.78,$945.78,$1003.10,$1003.10,NA,NA,NA,NA,NA,NA,NA,$952.95,$1146.40
Inpatient Rehabilitation Services,"CT scan, pelvis, with contrast",72193,$1348.00,$1011.00,$889.68,$1078.40,NA,NA,NA,NA,NA,NA,NA,NA,$1078.40,$1078.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$889.68,$889.68,$943.60,$943.60,NA,NA,NA,NA,NA,NA,NA,$896.42,$1078.40
Inpatient Rehabilitation Services,MRI scan of leg joint,73721,$1426.00,$1069.50,$941.16,$1140.80,NA,NA,NA,NA,NA,NA,NA,NA,$1140.80,$1140.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$941.16,$941.16,$998.20,$998.20,NA,NA,NA,NA,NA,NA,NA,$948.29,$1140.80
Inpatient Rehabilitation Services,CT scan of abdomen and pelvis with contrast,74177,$1893.00,$1419.75,$1249.38,$1514.40,NA,NA,NA,NA,NA,NA,NA,NA,$1514.40,$1514.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1249.38,$1249.38,$1325.10,$1325.10,NA,NA,NA,NA,NA,NA,NA,$1258.85,$1514.40
Inpatient Rehabilitation Services,Uterine and adnexa procedures for non-malignancy without comorbid conditions or major comorbid conditions or complications,743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound of abdomen,76700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Abdominal ultrasound of pregnant uterus, greater or equal to 14 weeks 0 days, single or first fetus",76805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound pelvis through vagina,76830,$270.00,$202.50,$178.20,$216.00,NA,NA,NA,NA,NA,NA,NA,NA,$216.00,$216.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$178.20,$178.20,$189.00,$189.00,NA,NA,NA,NA,NA,NA,NA,$179.55,$216.00
Inpatient Rehabilitation Services,Mammography of one breast,77065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Mammography of both breasts,77066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Mammography, screening, bilateral",77067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Basic metabolic panel,80048,$28.00,$21.00,$18.48,$22.40,NA,NA,NA,NA,NA,NA,NA,NA,$22.40,$22.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18.48,$18.48,$19.60,$19.60,NA,NA,NA,NA,NA,NA,NA,$18.62,$22.40
Inpatient Rehabilitation Services,"Blood test, comprehensive group of blood chemicals",80053,$35.00,$26.25,$23.10,$28.00,NA,NA,NA,NA,NA,NA,NA,NA,$28.00,$28.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23.10,$23.10,$24.50,$24.50,NA,NA,NA,NA,NA,NA,NA,$23.28,$28.00
Inpatient Rehabilitation Services,Obstetric blood test panel,80055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Blood test, lipids",80061,$44.00,$33.00,$29.04,$35.20,NA,NA,NA,NA,NA,NA,NA,NA,$35.20,$35.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29.04,$29.04,$30.80,$30.80,NA,NA,NA,NA,NA,NA,NA,$29.26,$35.20
Inpatient Rehabilitation Services,Kidney function panel test,80069,$29.00,$21.75,$19.14,$23.20,NA,NA,NA,NA,NA,NA,NA,NA,$23.20,$23.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19.14,$19.14,$20.30,$20.30,NA,NA,NA,NA,NA,NA,NA,$19.29,$23.20
Inpatient Rehabilitation Services,Liver function blood test panel,80076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81000,$13.00,$9.75,$8.58,$10.40,NA,NA,NA,NA,NA,NA,NA,NA,$10.40,$10.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.58,$8.58,$9.10,$9.10,NA,NA,NA,NA,NA,NA,NA,$8.65,$10.40
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81001,$11.00,$8.25,$7.26,$8.80,NA,NA,NA,NA,NA,NA,NA,NA,$8.80,$8.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$7.26,$7.26,$7.70,$7.70,NA,NA,NA,NA,NA,NA,NA,$7.32,$8.80
Inpatient Rehabilitation Services,Automated urinalysis test,81002,$16.00,$12.00,$10.56,$12.80,NA,NA,NA,NA,NA,NA,NA,NA,$12.80,$12.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$10.56,$10.56,$11.20,$11.20,NA,NA,NA,NA,NA,NA,NA,$10.64,$12.80
Inpatient Rehabilitation Services,Automated urinalysis test,81003,$8.00,$6.00,$5.28,$6.40,NA,NA,NA,NA,NA,NA,NA,NA,$6.40,$6.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$5.28,$5.28,$5.60,$5.60,NA,NA,NA,NA,NA,NA,NA,$5.32,$6.40
Inpatient Rehabilitation Services,Prostate specific antigen,84153,$61.00,$45.75,$40.26,$48.80,NA,NA,NA,NA,NA,NA,NA,NA,$48.80,$48.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40.26,$40.26,$42.70,$42.70,NA,NA,NA,NA,NA,NA,NA,$40.57,$48.80
Inpatient Rehabilitation Services,Prostate specific antigen,84154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Blood test, thyroid stimulating hormone",84443,$56.00,$42.00,$36.96,$44.80,NA,NA,NA,NA,NA,NA,NA,NA,$44.80,$44.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36.96,$36.96,$39.20,$39.20,NA,NA,NA,NA,NA,NA,NA,$37.24,$44.80
Inpatient Rehabilitation Services,"Complete blood cell count, with differential white blood cells, automated",85025,$24.00,$18.00,$15.84,$19.20,NA,NA,NA,NA,NA,NA,NA,NA,$19.20,$19.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15.84,$15.84,$16.80,$16.80,NA,NA,NA,NA,NA,NA,NA,$15.96,$19.20
Inpatient Rehabilitation Services,"Complete blood count, automated",85027,$17.00,$12.75,$11.22,$13.60,NA,NA,NA,NA,NA,NA,NA,NA,$13.60,$13.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.22,$11.22,$11.90,$11.90,NA,NA,NA,NA,NA,NA,NA,$11.31,$13.60
Inpatient Rehabilitation Services,"Blood test, clotting time",85610,$13.00,$9.75,$8.58,$10.40,NA,NA,NA,NA,NA,NA,NA,NA,$10.40,$10.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.58,$8.58,$9.10,$9.10,NA,NA,NA,NA,NA,NA,NA,$8.65,$10.40
Inpatient Rehabilitation Services,Coagulation assessment blood test,85730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 30 minutes",90832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 45 minutes",90834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 60 minutes",90837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
