Encompass Health Rehabilitation Hospital of Largo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,ADVANET WORK COMP (ADVW) negotiated charge,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,CARE PLUS HEALTH PLAN (CPH) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,HUMANA MILITARY (TRICARE) (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIME HEALTH SERVICES WC (PRMW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Ultrasound examination of lower large bowel using an endoscope,45391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Spinal fusion except cervical without major comorbid conditions or complications,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Cervical spinal fusion without comorbid conditions or major comorbid conditions or complications,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of gallbladder using an endoscope,47562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Repair of groin hernia patient age 5 or older,49505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Biopsy of prostate gland,55700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Surgical removal of prostate and surrounding lymph nodes using an endoscope,55866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for vaginal delivery, including pre-and post-delivery care",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for cesarean delivery, including pre-and post-delivery care",59510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Routine obstetric care for vaginal delivery after prior cesarean delivery including pre-and post-delivery care,59610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,64483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of recurring cataract in lens capsule using laser,66821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of cataract with insertion of lens,66984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"CT scan, head or brain, without contrast",70450,$827.00,$620.25,$471.39,$694.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$661.60,$694.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$578.90,NA,NA,$471.39,$578.90,NA,NA,NA,NA,NA,NA,NA,NA,$661.60
Inpatient Rehabilitation Services,MRI scan of brain before and after contrast,70553,$1357.00,$1017.75,$773.49,$1139.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1085.60,$1139.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$949.90,NA,NA,$773.49,$949.90,NA,NA,NA,NA,NA,NA,NA,NA,$1085.60
Inpatient Rehabilitation Services,"X-Ray, lower back, minimum four views",72110,$196.00,$147.00,$111.72,$164.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$156.80,$164.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$137.20,NA,NA,$111.72,$137.20,NA,NA,NA,NA,NA,NA,NA,NA,$156.80
Inpatient Rehabilitation Services,MRI scan of lower spinal canal,72148,$1039.00,$779.25,$592.23,$872.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$831.20,$872.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$727.30,NA,NA,$592.23,$727.30,NA,NA,NA,NA,NA,NA,NA,NA,$831.20
Inpatient Rehabilitation Services,"CT scan, pelvis, with contrast",72193,$1123.00,$842.25,$640.11,$943.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$898.40,$943.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$786.10,NA,NA,$640.11,$786.10,NA,NA,NA,NA,NA,NA,NA,NA,$898.40
Inpatient Rehabilitation Services,MRI scan of leg joint,73721,$1426.00,$1069.50,$812.82,$1197.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1140.80,$1197.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$998.20,NA,NA,$812.82,$998.20,NA,NA,NA,NA,NA,NA,NA,NA,$1140.80
Inpatient Rehabilitation Services,CT scan of abdomen and pelvis with contrast,74177,$1274.00,$955.50,$726.18,$1070.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1019.20,$1070.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$891.80,NA,NA,$726.18,$891.80,NA,NA,NA,NA,NA,NA,NA,NA,$1019.20
Inpatient Rehabilitation Services,Uterine and adnexa procedures for non-malignancy without comorbid conditions or major comorbid conditions or complications,743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound of abdomen,76700,$238.00,$178.50,$135.66,$199.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$190.40,$199.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$166.60,NA,NA,$135.66,$166.60,NA,NA,NA,NA,NA,NA,NA,NA,$190.40
Inpatient Rehabilitation Services,"Abdominal ultrasound of pregnant uterus, greater or equal to 14 weeks 0 days, single or first fetus",76805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound pelvis through vagina,76830,$270.00,$202.50,$153.90,$226.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$216.00,$226.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$189.00,NA,NA,$153.90,$189.00,NA,NA,NA,NA,NA,NA,NA,NA,$216.00
Inpatient Rehabilitation Services,Mammography of one breast,77065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Mammography of both breasts,77066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Mammography, screening, bilateral",77067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Basic metabolic panel,80048,$46.00,$34.50,$26.22,$38.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36.80,$38.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32.20,NA,NA,$26.22,$32.20,NA,NA,NA,NA,NA,NA,NA,NA,$36.80
Inpatient Rehabilitation Services,"Blood test, comprehensive group of blood chemicals",80053,$61.30,$45.98,$34.94,$51.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49.04,$51.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42.91,NA,NA,$34.94,$42.91,NA,NA,NA,NA,NA,NA,NA,NA,$49.04
Inpatient Rehabilitation Services,Obstetric blood test panel,80055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Blood test, lipids",80061,$45.00,$33.75,$25.65,$37.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36.00,$37.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31.50,NA,NA,$25.65,$31.50,NA,NA,NA,NA,NA,NA,NA,NA,$36.00
Inpatient Rehabilitation Services,Kidney function panel test,80069,$29.00,$21.75,$16.53,$24.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23.20,$24.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20.30,NA,NA,$16.53,$20.30,NA,NA,NA,NA,NA,NA,NA,NA,$23.20
Inpatient Rehabilitation Services,Liver function blood test panel,80076,$15.00,$11.25,$8.55,$12.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12.00,$12.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$10.50,NA,NA,$8.55,$10.50,NA,NA,NA,NA,NA,NA,NA,NA,$12.00
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81000,$13.00,$9.75,$7.41,$10.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$10.40,$10.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$9.10,NA,NA,$7.41,$9.10,NA,NA,NA,NA,NA,NA,NA,NA,$10.40
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81001,$16.00,$12.00,$9.12,$13.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12.80,$13.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.20,NA,NA,$9.12,$11.20,NA,NA,NA,NA,NA,NA,NA,NA,$12.80
Inpatient Rehabilitation Services,Automated urinalysis test,81002,$11.00,$8.25,$6.27,$9.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.80,$9.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$7.70,NA,NA,$6.27,$7.70,NA,NA,NA,NA,NA,NA,NA,NA,$8.80
Inpatient Rehabilitation Services,Automated urinalysis test,81003,$8.00,$6.00,$4.56,$6.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$6.40,$6.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$5.60,NA,NA,$4.56,$5.60,NA,NA,NA,NA,NA,NA,NA,NA,$6.40
Inpatient Rehabilitation Services,Prostate specific antigen,84153,$62.00,$46.50,$35.34,$52.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49.60,$52.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43.40,NA,NA,$35.34,$43.40,NA,NA,NA,NA,NA,NA,NA,NA,$49.60
Inpatient Rehabilitation Services,Prostate specific antigen,84154,$62.00,$46.50,$35.34,$52.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49.60,$52.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43.40,NA,NA,$35.34,$43.40,NA,NA,NA,NA,NA,NA,NA,NA,$49.60
Inpatient Rehabilitation Services,"Blood test, thyroid stimulating hormone",84443,$28.00,$21.00,$15.96,$23.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22.40,$23.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19.60,NA,NA,$15.96,$19.60,NA,NA,NA,NA,NA,NA,NA,NA,$22.40
Inpatient Rehabilitation Services,"Complete blood cell count, with differential white blood cells, automated",85025,$40.00,$30.00,$22.80,$33.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32.00,$33.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28.00,NA,NA,$22.80,$28.00,NA,NA,NA,NA,NA,NA,NA,NA,$32.00
Inpatient Rehabilitation Services,"Complete blood count, automated",85027,$36.00,$27.00,$20.52,$30.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28.80,$30.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25.20,NA,NA,$20.52,$25.20,NA,NA,NA,NA,NA,NA,NA,NA,$28.80
Inpatient Rehabilitation Services,"Blood test, clotting time",85610,$36.00,$27.00,$20.52,$30.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28.80,$30.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25.20,NA,NA,$20.52,$25.20,NA,NA,NA,NA,NA,NA,NA,NA,$28.80
Inpatient Rehabilitation Services,Coagulation assessment blood test,85730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 30 minutes",90832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 45 minutes",90834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 60 minutes",90837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, not including patient, 50 minutes",90846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, including patient, 50 min",90847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Group psychotherapy,90853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Electrocardiogram, routine, with interpretation and report",93000,$166.00,$124.50,$94.62,$139.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$132.80,$139.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$116.20,NA,NA,$94.62,$116.20,NA,NA,NA,NA,NA,NA,NA,NA,$132.80
Inpatient Rehabilitation Services,Insertion of catheter into left heart for diagnosis,93452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Sleep study,95810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Physical therapy, therapeutic exercise",97110,$87.00,$65.25,$49.59,$73.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69.60,$73.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60.90,NA,NA,$49.59,$60.90,NA,NA,NA,NA,NA,NA,NA,NA,$69.60
