Encompass Health Rehabilitation Hospital of New England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALLWAYS HEALTH PART EXCH (ALLZ) negotiated charge,ALLWAYS HEALTH PART MCD (ALLD) negotiated charge,ALLWAYS HEALTH PARTNERS (ALL) negotiated charge,AMERICAS CHOICE PROV NET (ACPN) negotiated charge,BCBS OF MA (BCMA) negotiated charge,BCBS OF MA EXCHANGE (BMAZ) negotiated charge,BCBS OF MA MEDICARE (BMAM) negotiated charge,BCMA BLUE BENEFIT ADMIN (BCMB) negotiated charge,BMC HEALTH PLAN DUAL (BMCB) negotiated charge,BMC HEALTH PLAN MEDICAID (BMCD) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COMMONWEALTH ALLIANCE DUA (COM) negotiated charge,COMMONWEALTH CARE MEDICAR (COCM) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,FALLON (FAL) negotiated charge,FALLON EXCHANGE (FALZ) negotiated charge,FALLON MEDICAID (FALD) negotiated charge,FALLON MEDICARE (FALM) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,GMMI INC (GMI) negotiated charge,HARVARD PILGRIM (HPH) negotiated charge,HARVARD PILGRIM EXCHANGE (HPHZ) negotiated charge,HARVARD PILGRIM MEDICARE (HPIM) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK HEALTH COM CARES (NTHD) negotiated charge,NETWORK HEALTH EXCHANGE (NTHZ) negotiated charge,NETWORK HEALTH MEDICAID (NTH) negotiated charge,NETWORK HEATLH DUAL ELIG (NTHB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,SENIOR WHOLE HEALTH MCR (WHSM) negotiated charge,TUFTS (TFT) negotiated charge,TUFTS MEDICARE (TFTS) negotiated charge,UNICARE (UNC) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,UNITED HEALTHCARE VA CCN (UHV) negotiated charge,WELLSENSE MEDICARE (WLSM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Repair of groin hernia patient age 5 or older,49505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Biopsy of prostate gland,55700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Surgical removal of prostate and surrounding lymph nodes using an endoscope,55866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for vaginal delivery, including pre-and post-delivery care",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for cesarean delivery, including pre-and post-delivery care",59510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Routine obstetric care for vaginal delivery after prior cesarean delivery including pre-and post-delivery care,59610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,64483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of recurring cataract in lens capsule using laser,66821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of cataract with insertion of lens,66984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"CT scan, head or brain, without contrast",70450,$1084.00,$813.00,$565.41,$921.40,NA,NA,NA,NA,NA,$921.40,NA,NA,NA,NA,NA,NA,$867.20,$867.20,NA,NA,NA,NA,$772.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$758.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$565.41,$867.20
Inpatient Rehabilitation Services,MRI scan of brain before and after contrast,70553,$1893.00,$1419.75,$987.39,$1609.05,NA,NA,NA,NA,NA,$1609.05,NA,NA,NA,NA,NA,NA,$1514.40,$1514.40,NA,NA,NA,NA,$1349.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1325.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$987.39,$1514.40
Inpatient Rehabilitation Services,"X-Ray, lower back, minimum four views",72110,$255.00,$191.25,$133.01,$216.75,NA,NA,NA,NA,NA,$216.75,NA,NA,NA,NA,NA,NA,$204.00,$204.00,NA,NA,NA,NA,$181.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$178.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$133.01,$204.00
Inpatient Rehabilitation Services,MRI scan of lower spinal canal,72148,$1433.00,$1074.75,$747.45,$1218.05,NA,NA,NA,NA,NA,$1218.05,NA,NA,NA,NA,NA,NA,$1146.40,$1146.40,NA,NA,NA,NA,$1021.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1003.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$747.45,$1146.40
Inpatient Rehabilitation Services,"CT scan, pelvis, with contrast",72193,$1348.00,$1011.00,$703.12,$1145.80,NA,NA,NA,NA,NA,$1145.80,NA,NA,NA,NA,NA,NA,$1078.40,$1078.40,NA,NA,NA,NA,$961.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$943.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$703.12,$1078.40
Inpatient Rehabilitation Services,MRI scan of leg joint,73721,$1426.00,$1069.50,$743.80,$1212.10,NA,NA,NA,NA,NA,$1212.10,NA,NA,NA,NA,NA,NA,$1140.80,$1140.80,NA,NA,NA,NA,$1016.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$998.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$743.80,$1140.80
Inpatient Rehabilitation Services,CT scan of abdomen and pelvis with contrast,74177,$1893.00,$1419.75,$987.39,$1609.05,NA,NA,NA,NA,NA,$1609.05,NA,NA,NA,NA,NA,NA,$1514.40,$1514.40,NA,NA,NA,NA,$1349.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1325.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$987.39,$1514.40
Inpatient Rehabilitation Services,Uterine and adnexa procedures for non-malignancy without comorbid conditions or major comorbid conditions or complications,743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound of abdomen,76700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Abdominal ultrasound of pregnant uterus, greater or equal to 14 weeks 0 days, single or first fetus",76805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound pelvis through vagina,76830,$270.00,$202.50,$140.83,$229.50,NA,NA,NA,NA,NA,$229.50,NA,NA,NA,NA,NA,NA,$216.00,$216.00,NA,NA,NA,NA,$192.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$189.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$140.83,$216.00
Inpatient Rehabilitation Services,Mammography of one breast,77065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Mammography of both breasts,77066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Mammography, screening, bilateral",77067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Basic metabolic panel,80048,$41.00,$30.75,$21.39,$34.85,NA,NA,NA,NA,NA,$34.85,NA,NA,NA,NA,NA,NA,$32.80,$32.80,NA,NA,NA,NA,$29.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21.39,$32.80
Inpatient Rehabilitation Services,"Blood test, comprehensive group of blood chemicals",80053,$51.00,$38.25,$26.60,$43.35,NA,NA,NA,NA,NA,$43.35,NA,NA,NA,NA,NA,NA,$40.80,$40.80,NA,NA,NA,NA,$36.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26.60,$40.80
Inpatient Rehabilitation Services,Obstetric blood test panel,80055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Blood test, lipids",80061,$64.00,$48.00,$33.38,$54.40,NA,NA,NA,NA,NA,$54.40,NA,NA,NA,NA,NA,NA,$51.20,$51.20,NA,NA,NA,NA,$45.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33.38,$51.20
Inpatient Rehabilitation Services,Kidney function panel test,80069,$42.00,$31.50,$21.91,$35.70,NA,NA,NA,NA,NA,$35.70,NA,NA,NA,NA,NA,NA,$33.60,$33.60,NA,NA,NA,NA,$29.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21.91,$33.60
Inpatient Rehabilitation Services,Liver function blood test panel,80076,$39.00,$29.25,$20.34,$33.15,NA,NA,NA,NA,NA,$33.15,NA,NA,NA,NA,NA,NA,$31.20,$31.20,NA,NA,NA,NA,$27.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20.34,$31.20
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81000,$16.00,$12.00,$8.35,$13.60,NA,NA,NA,NA,NA,$13.60,NA,NA,NA,NA,NA,NA,$12.80,$12.80,NA,NA,NA,NA,$11.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.35,$12.80
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81001,$16.00,$12.00,$8.35,$13.60,NA,NA,NA,NA,NA,$13.60,NA,NA,NA,NA,NA,NA,$12.80,$12.80,NA,NA,NA,NA,$11.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.35,$12.80
Inpatient Rehabilitation Services,Automated urinalysis test,81002,$13.00,$9.75,$6.78,$11.05,NA,NA,NA,NA,NA,$11.05,NA,NA,NA,NA,NA,NA,$10.40,$10.40,NA,NA,NA,NA,$9.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$9.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$6.78,$10.40
Inpatient Rehabilitation Services,Automated urinalysis test,81003,$11.00,$8.25,$5.74,$9.35,NA,NA,NA,NA,NA,$9.35,NA,NA,NA,NA,NA,NA,$8.80,$8.80,NA,NA,NA,NA,$7.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$7.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$5.74,$8.80
Inpatient Rehabilitation Services,Prostate specific antigen,84153,$88.00,$66.00,$45.90,$74.80,NA,NA,NA,NA,NA,$74.80,NA,NA,NA,NA,NA,NA,$70.40,$70.40,NA,NA,NA,NA,$62.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$61.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45.90,$70.40
Inpatient Rehabilitation Services,Prostate specific antigen,84154,$88.00,$66.00,$45.90,$74.80,NA,NA,NA,NA,NA,$74.80,NA,NA,NA,NA,NA,NA,$70.40,$70.40,NA,NA,NA,NA,$62.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$61.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45.90,$70.40
Inpatient Rehabilitation Services,"Blood test, thyroid stimulating hormone",84443,$81.00,$60.75,$42.25,$68.85,NA,NA,NA,NA,NA,$68.85,NA,NA,NA,NA,NA,NA,$64.80,$64.80,NA,NA,NA,NA,$57.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$56.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42.25,$64.80
