Encompass Health Rehabilitation Hospital of Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,AMERICAN PROG TODAYS OPT (AMPM) negotiated charge,BC FEP (BCFD) negotiated charge,BCBS AL (BCAL) negotiated charge,BCBS AL MEDICARE ADVANTAG (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COVENTRY-NATIONAL (CHCN) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Ultrasound examination of lower large bowel using an endoscope,45391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Spinal fusion except cervical without major comorbid conditions or complications,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Cervical spinal fusion without comorbid conditions or major comorbid conditions or complications,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of gallbladder using an endoscope,47562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Repair of groin hernia patient age 5 or older,49505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Biopsy of prostate gland,55700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Surgical removal of prostate and surrounding lymph nodes using an endoscope,55866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for vaginal delivery, including pre-and post-delivery care",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for cesarean delivery, including pre-and post-delivery care",59510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Routine obstetric care for vaginal delivery after prior cesarean delivery including pre-and post-delivery care,59610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,64483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of recurring cataract in lens capsule using laser,66821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of cataract with insertion of lens,66984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"CT scan, head or brain, without contrast",70450,$1454.00,$1090.50,$1017.80,$1221.36,NA,NA,NA,NA,NA,NA,NA,NA,$1163.20,$1221.36,NA,NA,NA,NA,NA,NA,$1017.80,NA,NA,NA,NA,NA,NA,NA,NA,$1163.20
Inpatient Rehabilitation Services,MRI scan of brain before and after contrast,70553,$2149.00,$1611.75,$1504.30,$1805.16,NA,NA,NA,NA,NA,NA,NA,NA,$1719.20,$1805.16,NA,NA,NA,NA,NA,NA,$1504.30,NA,NA,NA,NA,NA,NA,NA,NA,$1719.20
Inpatient Rehabilitation Services,"X-Ray, lower back, minimum four views",72110,$422.00,$316.50,$295.40,$354.48,NA,NA,NA,NA,NA,NA,NA,NA,$337.60,$354.48,NA,NA,NA,NA,NA,NA,$295.40,NA,NA,NA,NA,NA,NA,NA,NA,$337.60
Inpatient Rehabilitation Services,MRI scan of lower spinal canal,72148,$1754.00,$1315.50,$1227.80,$1473.36,NA,NA,NA,NA,NA,NA,NA,NA,$1403.20,$1473.36,NA,NA,NA,NA,NA,NA,$1227.80,NA,NA,NA,NA,NA,NA,NA,NA,$1403.20
Inpatient Rehabilitation Services,"CT scan, pelvis, with contrast",72193,$1681.00,$1260.75,$1176.70,$1412.04,NA,NA,NA,NA,NA,NA,NA,NA,$1344.80,$1412.04,NA,NA,NA,NA,NA,NA,$1176.70,NA,NA,NA,NA,NA,NA,NA,NA,$1344.80
Inpatient Rehabilitation Services,MRI scan of leg joint,73721,$1426.00,$1069.50,$998.20,$1197.84,NA,NA,NA,NA,NA,NA,NA,NA,$1140.80,$1197.84,NA,NA,NA,NA,NA,NA,$998.20,NA,NA,NA,NA,NA,NA,NA,NA,$1140.80
Inpatient Rehabilitation Services,CT scan of abdomen and pelvis with contrast,74177,$2149.00,$1611.75,$1504.30,$1805.16,NA,NA,NA,NA,NA,NA,NA,NA,$1719.20,$1805.16,NA,NA,NA,NA,NA,NA,$1504.30,NA,NA,NA,NA,NA,NA,NA,NA,$1719.20
Inpatient Rehabilitation Services,Uterine and adnexa procedures for non-malignancy without comorbid conditions or major comorbid conditions or complications,743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound of abdomen,76700,$219.00,$164.25,$153.30,$183.96,NA,NA,NA,NA,NA,NA,NA,NA,$175.20,$183.96,NA,NA,NA,NA,NA,NA,$153.30,NA,NA,NA,NA,NA,NA,NA,NA,$175.20
Inpatient Rehabilitation Services,"Abdominal ultrasound of pregnant uterus, greater or equal to 14 weeks 0 days, single or first fetus",76805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound pelvis through vagina,76830,$270.00,$202.50,$189.00,$226.80,NA,NA,NA,NA,NA,NA,NA,NA,$216.00,$226.80,NA,NA,NA,NA,NA,NA,$189.00,NA,NA,NA,NA,NA,NA,NA,NA,$216.00
Inpatient Rehabilitation Services,Mammography of one breast,77065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Mammography of both breasts,77066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Mammography, screening, bilateral",77067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Basic metabolic panel,80048,$29.00,$21.75,$20.30,$24.36,NA,NA,NA,NA,NA,NA,NA,NA,$23.20,$24.36,NA,NA,NA,NA,NA,NA,$20.30,NA,NA,NA,NA,NA,NA,NA,NA,$23.20
Inpatient Rehabilitation Services,"Blood test, comprehensive group of blood chemicals",80053,$36.00,$27.00,$25.20,$30.24,NA,NA,NA,NA,NA,NA,NA,NA,$28.80,$30.24,NA,NA,NA,NA,NA,NA,$25.20,NA,NA,NA,NA,NA,NA,NA,NA,$28.80
Inpatient Rehabilitation Services,Obstetric blood test panel,80055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Blood test, lipids",80061,$45.00,$33.75,$31.50,$37.80,NA,NA,NA,NA,NA,NA,NA,NA,$36.00,$37.80,NA,NA,NA,NA,NA,NA,$31.50,NA,NA,NA,NA,NA,NA,NA,NA,$36.00
Inpatient Rehabilitation Services,Kidney function panel test,80069,$29.00,$21.75,$20.30,$24.36,NA,NA,NA,NA,NA,NA,NA,NA,$23.20,$24.36,NA,NA,NA,NA,NA,NA,$20.30,NA,NA,NA,NA,NA,NA,NA,NA,$23.20
Inpatient Rehabilitation Services,Liver function blood test panel,80076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81000,$13.00,$9.75,$9.10,$10.92,NA,NA,NA,NA,NA,NA,NA,NA,$10.40,$10.92,NA,NA,NA,NA,NA,NA,$9.10,NA,NA,NA,NA,NA,NA,NA,NA,$10.40
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81001,$11.00,$8.25,$7.70,$9.24,NA,NA,NA,NA,NA,NA,NA,NA,$8.80,$9.24,NA,NA,NA,NA,NA,NA,$7.70,NA,NA,NA,NA,NA,NA,NA,NA,$8.80
Inpatient Rehabilitation Services,Automated urinalysis test,81002,$11.00,$8.25,$7.70,$9.24,NA,NA,NA,NA,NA,NA,NA,NA,$8.80,$9.24,NA,NA,NA,NA,NA,NA,$7.70,NA,NA,NA,NA,NA,NA,NA,NA,$8.80
Inpatient Rehabilitation Services,Automated urinalysis test,81003,$8.00,$6.00,$5.60,$6.72,NA,NA,NA,NA,NA,NA,NA,NA,$6.40,$6.72,NA,NA,NA,NA,NA,NA,$5.60,NA,NA,NA,NA,NA,NA,NA,NA,$6.40
Inpatient Rehabilitation Services,Prostate specific antigen,84153,$62.00,$46.50,$43.40,$52.08,NA,NA,NA,NA,NA,NA,NA,NA,$49.60,$52.08,NA,NA,NA,NA,NA,NA,$43.40,NA,NA,NA,NA,NA,NA,NA,NA,$49.60
Inpatient Rehabilitation Services,Prostate specific antigen,84154,$62.00,$46.50,$43.40,$52.08,NA,NA,NA,NA,NA,NA,NA,NA,$49.60,$52.08,NA,NA,NA,NA,NA,NA,$43.40,NA,NA,NA,NA,NA,NA,NA,NA,$49.60
Inpatient Rehabilitation Services,"Blood test, thyroid stimulating hormone",84443,$57.00,$42.75,$39.90,$47.88,NA,NA,NA,NA,NA,NA,NA,NA,$45.60,$47.88,NA,NA,NA,NA,NA,NA,$39.90,NA,NA,NA,NA,NA,NA,NA,NA,$45.60
Inpatient Rehabilitation Services,"Complete blood cell count, with differential white blood cells, automated",85025,$26.00,$19.50,$18.20,$21.84,NA,NA,NA,NA,NA,NA,NA,NA,$20.80,$21.84,NA,NA,NA,NA,NA,NA,$18.20,NA,NA,NA,NA,NA,NA,NA,NA,$20.80
Inpatient Rehabilitation Services,"Complete blood count, automated",85027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Blood test, clotting time",85610,$14.00,$10.50,$9.80,$11.76,NA,NA,NA,NA,NA,NA,NA,NA,$11.20,$11.76,NA,NA,NA,NA,NA,NA,$9.80,NA,NA,NA,NA,NA,NA,NA,NA,$11.20
Inpatient Rehabilitation Services,Coagulation assessment blood test,85730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 30 minutes",90832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 45 minutes",90834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 60 minutes",90837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, not including patient, 50 minutes",90846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, including patient, 50 min",90847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Group psychotherapy,90853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Electrocardiogram, routine, with interpretation and report",93000,$166.00,$124.50,$116.20,$139.44,NA,NA,NA,NA,NA,NA,NA,NA,$132.80,$139.44,NA,NA,NA,NA,NA,NA,$116.20,NA,NA,NA,NA,NA,NA,NA,NA,$132.80
Inpatient Rehabilitation Services,Insertion of catheter into left heart for diagnosis,93452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Sleep study,95810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Physical therapy, therapeutic exercise",97110,$87.00,$65.25,$60.90,$73.08,NA,NA,NA,NA,NA,NA,NA,NA,$69.60,$73.08,NA,NA,NA,NA,NA,NA,$60.90,NA,NA,NA,NA,NA,NA,NA,NA,$69.60
Inpatient Rehabilitation Services,"New patient office or other outpatient visit, typically 30 min",99203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 45 min",99204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 60 min",99205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 40 min",99243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 60 min",99244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 18 to 39",99385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 40 to 64",99386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-A,NA,NA,$10620.85,$12856.81,NA,NA,NA,$11179.84,NA,NA,$10844.44,NA,NA,NA,$11179.84,NA,NA,$11179.84,NA,$11179.84,NA,$12856.81,$11179.84,$11179.84,NA,$10620.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-B,NA,NA,$13990.22,$16935.53,NA,NA,NA,$14726.55,NA,NA,$14284.75,NA,NA,NA,$14726.55,NA,NA,$14726.55,NA,$14726.55,NA,$16935.53,$14726.55,$14726.55,NA,$13990.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-C,NA,NA,$11961.00,$14479.10,NA,NA,NA,$12590.53,NA,NA,$12212.81,NA,NA,NA,$12590.53,NA,NA,$12590.53,NA,$12590.53,NA,$14479.10,$12590.53,$12590.53,NA,$11961.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-D,NA,NA,$11098.31,$13434.80,NA,NA,NA,$11682.43,NA,NA,$11331.96,NA,NA,NA,$11682.43,NA,NA,$11682.43,NA,$11682.43,NA,$13434.80,$11682.43,$11682.43,NA,$11098.31,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-A,NA,NA,$13565.66,$16421.58,NA,NA,NA,$14279.64,NA,NA,$13851.25,NA,NA,NA,$14279.64,NA,NA,$14279.64,NA,$14279.64,NA,$16421.58,$14279.64,$14279.64,NA,$13565.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-B,NA,NA,$17869.61,$21631.63,NA,NA,NA,$18810.11,NA,NA,$18245.81,NA,NA,NA,$18810.11,NA,NA,$18810.11,NA,$18810.11,NA,$21631.63,$18810.11,$18810.11,NA,$17869.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-C,NA,NA,$15276.11,$18492.14,NA,NA,NA,$16080.12,NA,NA,$15597.72,NA,NA,NA,$16080.12,NA,NA,$16080.12,NA,$16080.12,NA,$18492.14,$16080.12,$16080.12,NA,$15276.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-D,NA,NA,$14176.05,$17160.48,NA,NA,NA,$14922.16,NA,NA,$14474.49,NA,NA,NA,$14922.16,NA,NA,$14922.16,NA,$14922.16,NA,$17160.48,$14922.16,$14922.16,NA,$14176.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-A,NA,NA,$17347.38,$20999.46,NA,NA,NA,$18260.40,NA,NA,$17712.59,NA,NA,NA,$18260.40,NA,NA,$18260.40,NA,$18260.40,NA,$20999.46,$18260.40,$18260.40,NA,$17347.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-B,NA,NA,$22850.42,$27661.03,NA,NA,NA,$24053.07,NA,NA,$23331.48,NA,NA,NA,$24053.07,NA,NA,$24053.07,NA,$24053.07,NA,$27661.03,$24053.07,$24053.07,NA,$22850.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-C,NA,NA,$19533.95,$23646.36,NA,NA,NA,$20562.05,NA,NA,$19945.19,NA,NA,NA,$20562.05,NA,NA,$20562.05,NA,$20562.05,NA,$23646.36,$20562.05,$20562.05,NA,$19533.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-D,NA,NA,$18125.97,$21941.97,NA,NA,NA,$19079.97,NA,NA,$18507.57,NA,NA,NA,$19079.97,NA,NA,$19079.97,NA,$19079.97,NA,$21941.97,$19079.97,$19079.97,NA,$18125.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-A,NA,NA,$22537.08,$27281.73,NA,NA,NA,$23723.25,NA,NA,$23011.55,NA,NA,NA,$23723.25,NA,NA,$23723.25,NA,$23723.25,NA,$27281.73,$23723.25,$23723.25,NA,$22537.08,NA,NA,NA,NA
