Encompass Health Rehabilitation Hospital of Ocala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL NETWORK BLUE (BCNB) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Ultrasound examination of lower large bowel using an endoscope,45391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Spinal fusion except cervical without major comorbid conditions or complications,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Cervical spinal fusion without comorbid conditions or major comorbid conditions or complications,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of gallbladder using an endoscope,47562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Repair of groin hernia patient age 5 or older,49505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Biopsy of prostate gland,55700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Surgical removal of prostate and surrounding lymph nodes using an endoscope,55866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for vaginal delivery, including pre-and post-delivery care",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for cesarean delivery, including pre-and post-delivery care",59510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Routine obstetric care for vaginal delivery after prior cesarean delivery including pre-and post-delivery care,59610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,64483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of recurring cataract in lens capsule using laser,66821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of cataract with insertion of lens,66984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"CT scan, head or brain, without contrast",70450,$1084.00,$813.00,$617.88,$910.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,$867.20,$910.56,NA,NA,$617.88,NA,NA,NA,NA,NA,$758.80,NA,NA,$758.80,NA,NA,NA,NA,NA,NA,$617.88,$867.20
Inpatient Rehabilitation Services,MRI scan of brain before and after contrast,70553,$1893.00,$1419.75,$1079.01,$1590.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1514.40,$1590.12,NA,NA,$1079.01,NA,NA,NA,NA,NA,$1325.10,NA,NA,$1325.10,NA,NA,NA,NA,NA,NA,$1079.01,$1514.40
Inpatient Rehabilitation Services,"X-Ray, lower back, minimum four views",72110,$255.00,$191.25,$145.35,$214.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$204.00,$214.20,NA,NA,$145.35,NA,NA,NA,NA,NA,$178.50,NA,NA,$178.50,NA,NA,NA,NA,NA,NA,$145.35,$204.00
Inpatient Rehabilitation Services,MRI scan of lower spinal canal,72148,$1433.00,$1074.75,$816.81,$1203.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1146.40,$1203.72,NA,NA,$816.81,NA,NA,NA,NA,NA,$1003.10,NA,NA,$1003.10,NA,NA,NA,NA,NA,NA,$816.81,$1146.40
Inpatient Rehabilitation Services,"CT scan, pelvis, with contrast",72193,$1348.00,$1011.00,$768.36,$1132.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1078.40,$1132.32,NA,NA,$768.36,NA,NA,NA,NA,NA,$943.60,NA,NA,$943.60,NA,NA,NA,NA,NA,NA,$768.36,$1078.40
Inpatient Rehabilitation Services,MRI scan of leg joint,73721,$1426.00,$1069.50,$812.82,$1197.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1140.80,$1197.84,NA,NA,$812.82,NA,NA,NA,NA,NA,$998.20,NA,NA,$998.20,NA,NA,NA,NA,NA,NA,$812.82,$1140.80
Inpatient Rehabilitation Services,CT scan of abdomen and pelvis with contrast,74177,$1893.00,$1419.75,$1079.01,$1590.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1514.40,$1590.12,NA,NA,$1079.01,NA,NA,NA,NA,NA,$1325.10,NA,NA,$1325.10,NA,NA,NA,NA,NA,NA,$1079.01,$1514.40
Inpatient Rehabilitation Services,Uterine and adnexa procedures for non-malignancy without comorbid conditions or major comorbid conditions or complications,743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound of abdomen,76700,$261.00,$195.75,$148.77,$219.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,$208.80,$219.24,NA,NA,$148.77,NA,NA,NA,NA,NA,$182.70,NA,NA,$182.70,NA,NA,NA,NA,NA,NA,$148.77,$208.80
Inpatient Rehabilitation Services,"Abdominal ultrasound of pregnant uterus, greater or equal to 14 weeks 0 days, single or first fetus",76805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound pelvis through vagina,76830,$270.00,$202.50,$153.90,$226.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,$216.00,$226.80,NA,NA,$153.90,NA,NA,NA,NA,NA,$189.00,NA,NA,$189.00,NA,NA,NA,NA,NA,NA,$153.90,$216.00
Inpatient Rehabilitation Services,Mammography of one breast,77065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Mammography of both breasts,77066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Mammography, screening, bilateral",77067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Basic metabolic panel,80048,$32.19,$24.14,$18.35,$27.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25.75,$27.04,NA,NA,$18.35,NA,NA,NA,NA,NA,$22.53,NA,NA,$22.53,NA,NA,NA,NA,NA,NA,$18.35,$25.75
Inpatient Rehabilitation Services,"Blood test, comprehensive group of blood chemicals",80053,$34.62,$25.97,$19.73,$29.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27.70,$29.08,NA,NA,$19.73,NA,NA,NA,NA,NA,$24.23,NA,NA,$24.23,NA,NA,NA,NA,NA,NA,$19.73,$27.70
Inpatient Rehabilitation Services,Obstetric blood test panel,80055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Blood test, lipids",80061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Kidney function panel test,80069,$43.23,$32.42,$24.64,$36.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34.58,$36.31,NA,NA,$24.64,NA,NA,NA,NA,NA,$30.26,NA,NA,$30.26,NA,NA,NA,NA,NA,NA,$24.64,$34.58
Inpatient Rehabilitation Services,Liver function blood test panel,80076,$35.55,$26.66,$20.26,$29.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28.44,$29.86,NA,NA,$20.26,NA,NA,NA,NA,NA,$24.89,NA,NA,$24.89,NA,NA,NA,NA,NA,NA,$20.26,$28.44
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81000,$275.10,$206.33,$156.81,$231.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,$220.08,$231.08,NA,NA,$156.81,NA,NA,NA,NA,NA,$192.57,NA,NA,$192.57,NA,NA,NA,NA,NA,NA,$156.81,$220.08
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81001,$21.00,$15.75,$11.97,$17.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16.80,$17.64,NA,NA,$11.97,NA,NA,NA,NA,NA,$14.70,NA,NA,$14.70,NA,NA,NA,NA,NA,NA,$11.97,$16.80
Inpatient Rehabilitation Services,Automated urinalysis test,81002,$12.96,$9.72,$7.39,$10.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,$10.37,$10.89,NA,NA,$7.39,NA,NA,NA,NA,NA,$9.07,NA,NA,$9.07,NA,NA,NA,NA,NA,NA,$7.39,$10.37
Inpatient Rehabilitation Services,Automated urinalysis test,81003,$12.96,$9.72,$7.39,$10.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,$10.37,$10.89,NA,NA,$7.39,NA,NA,NA,NA,NA,$9.07,NA,NA,$9.07,NA,NA,NA,NA,NA,NA,$7.39,$10.37
Inpatient Rehabilitation Services,Prostate specific antigen,84153,$102.15,$76.61,$58.23,$85.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,$81.72,$85.81,NA,NA,$58.23,NA,NA,NA,NA,NA,$71.51,NA,NA,$71.51,NA,NA,NA,NA,NA,NA,$58.23,$81.72
Inpatient Rehabilitation Services,Prostate specific antigen,84154,$75.27,$56.45,$42.90,$63.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60.22,$63.23,NA,NA,$42.90,NA,NA,NA,NA,NA,$52.69,NA,NA,$52.69,NA,NA,NA,NA,NA,NA,$42.90,$60.22
Inpatient Rehabilitation Services,"Blood test, thyroid stimulating hormone",84443,$36.90,$27.68,$21.03,$31.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29.52,$31.00,NA,NA,$21.03,NA,NA,NA,NA,NA,$25.83,NA,NA,$25.83,NA,NA,NA,NA,NA,NA,$21.03,$29.52
Inpatient Rehabilitation Services,"Complete blood cell count, with differential white blood cells, automated",85025,$9.69,$7.27,$5.52,$8.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,$7.75,$8.14,NA,NA,$5.52,NA,NA,NA,NA,NA,$6.78,NA,NA,$6.78,NA,NA,NA,NA,NA,NA,$5.52,$7.75
Inpatient Rehabilitation Services,"Complete blood count, automated",85027,$7.65,$5.74,$4.36,$6.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,$6.12,$6.43,NA,NA,$4.36,NA,NA,NA,NA,NA,$5.36,NA,NA,$5.36,NA,NA,NA,NA,NA,NA,$4.36,$6.12
Inpatient Rehabilitation Services,"Blood test, clotting time",85610,$73.56,$55.17,$41.93,$61.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,$58.85,$61.79,NA,NA,$41.93,NA,NA,NA,NA,NA,$51.49,NA,NA,$51.49,NA,NA,NA,NA,NA,NA,$41.93,$58.85
Inpatient Rehabilitation Services,Coagulation assessment blood test,85730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 30 minutes",90832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 45 minutes",90834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 60 minutes",90837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, not including patient, 50 minutes",90846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, including patient, 50 min",90847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Group psychotherapy,90853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Electrocardiogram, routine, with interpretation and report",93000,$166.00,$124.50,$94.62,$139.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,$132.80,$139.44,NA,NA,$94.62,NA,NA,NA,NA,NA,$116.20,NA,NA,$116.20,NA,NA,NA,NA,NA,NA,$94.62,$132.80
Inpatient Rehabilitation Services,Insertion of catheter into left heart for diagnosis,93452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Sleep study,95810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Physical therapy, therapeutic exercise",97110,$87.00,$65.25,$49.59,$73.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69.60,$73.08,NA,NA,$49.59,NA,NA,NA,NA,NA,$60.90,NA,NA,$60.90,NA,NA,NA,NA,NA,NA,$49.59,$69.60
Inpatient Rehabilitation Services,"New patient office or other outpatient visit, typically 30 min",99203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 45 min",99204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 60 min",99205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 40 min",99243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 60 min",99244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 18 to 39",99385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 40 to 64",99386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-A,NA,NA,$11370.83,$13801.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23970.38,NA,NA,NA,$23970.38,NA,NA,$23970.38,NA,$23970.38,NA,NA,$27565.93,$23970.38,NA,$23970.38,NA,$22771.86,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-B,NA,NA,$14978.12,$18179.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31574.77,NA,NA,NA,$31574.77,NA,NA,$31574.77,NA,$31574.77,NA,NA,$36310.99,$31574.77,NA,$31574.77,NA,$29996.03,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-C,NA,NA,$12805.61,$15542.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26994.99,NA,NA,NA,$26994.99,NA,NA,$26994.99,NA,$26994.99,NA,NA,$31044.24,$26994.99,NA,$26994.99,NA,$25645.24,NA,NA
