Encompass Health Rehabilitation Hospital of Western Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALLWAYS HEALTH PART EXCH (ALLZ) negotiated charge,ALLWAYS HEALTH PART MCD (ALLD) negotiated charge,ALLWAYS HEALTH PARTNERS (ALL) negotiated charge,BC BS OF MA (BCMA) negotiated charge,BCBS MA EXCHANGE (BMAZ) negotiated charge,BCBS OF MASS MEDICARE (BMAM) negotiated charge,BCMA BLUE BENEFIT ADMIN (BCMB) negotiated charge,BMC HEALTHNET (BMCD) negotiated charge,BOSTON MEDICAL CTR DUAL (BMCB) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COMMONWEALTH CARE DUAL (COM) negotiated charge,CONNECTICARE (CTC) negotiated charge,CORVEL WC (CVLW) negotiated charge,COVENTRY HEALTHCARE WC (CHCW) negotiated charge,FALLON COMMUNITY HEALTH (FAL) negotiated charge,FALLON EXCHANGE (FALZ) negotiated charge,FALLON MEDICAID (FALD) negotiated charge,FALLON SENIOR (FALM) negotiated charge,HARVARD PILGRIM EXCHANGE (HPHZ) negotiated charge,HARVARD PILGRIM HEALTHCAR (HPH) negotiated charge,HEALTH NEW ENGLAND (HNE) negotiated charge,HEALTH NEW ENGLAND EXCHGE (HNEZ) negotiated charge,HEALTH NEW ENGLAND MEDICA (HNEM) negotiated charge,HEALTH NEWENGLAND MEDICAI (HNED) negotiated charge,NETWORK HEALTH (NTH) negotiated charge,NETWORK HEALTH BELOW 65 D (NTHB) negotiated charge,NETWORK HEALTH EXCHANGE (NTHZ) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,TUFTS HMO/PPO (TFTH) negotiated charge,TUFTS POS (TFTP) negotiated charge,TUFTS SECURE HORIZONS (TFTS) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNICARE CIP (UNCI) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,WELLSENSE MEDICARE (WLSM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Ultrasound examination of lower large bowel using an endoscope,45391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Spinal fusion except cervical without major comorbid conditions or complications,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Cervical spinal fusion without comorbid conditions or major comorbid conditions or complications,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of gallbladder using an endoscope,47562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Repair of groin hernia patient age 5 or older,49505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Biopsy of prostate gland,55700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Surgical removal of prostate and surrounding lymph nodes using an endoscope,55866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for vaginal delivery, including pre-and post-delivery care",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for cesarean delivery, including pre-and post-delivery care",59510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Routine obstetric care for vaginal delivery after prior cesarean delivery including pre-and post-delivery care,59610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,64483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of recurring cataract in lens capsule using laser,66821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of cataract with insertion of lens,66984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"CT scan, head or brain, without contrast",70450,$1578.00,$1183.50,$755.70,$1325.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1262.40,$1325.52,NA,NA,NA,NA,$854.33,$839.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1104.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$755.70,$1262.40
Inpatient Rehabilitation Services,MRI scan of brain before and after contrast,70553,$2560.00,$1920.00,$1225.98,$2150.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2048.00,$2150.40,NA,NA,NA,NA,$1385.98,$1361.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1792.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1225.98,$2048.00
Inpatient Rehabilitation Services,"X-Ray, lower back, minimum four views",72110,$689.00,$516.75,$329.96,$578.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$551.20,$578.76,NA,NA,NA,NA,$373.02,$366.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$482.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$329.96,$551.20
Inpatient Rehabilitation Services,MRI scan of lower spinal canal,72148,$2018.00,$1513.50,$966.42,$1695.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1614.40,$1695.12,NA,NA,NA,NA,$1092.55,$1073.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1412.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$966.42,$1614.40
Inpatient Rehabilitation Services,"CT scan, pelvis, with contrast",72193,$1833.00,$1374.75,$877.82,$1539.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1466.40,$1539.72,NA,NA,NA,NA,$992.39,$975.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1283.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$877.82,$1466.40
Inpatient Rehabilitation Services,MRI scan of leg joint,73721,$1426.00,$1069.50,$682.91,$1197.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1140.80,$1197.84,NA,NA,NA,NA,$772.04,$758.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$998.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$682.91,$1140.80
Inpatient Rehabilitation Services,CT scan of abdomen and pelvis with contrast,74177,$2560.00,$1920.00,$1225.98,$2150.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2048.00,$2150.40,NA,NA,NA,NA,$1385.98,$1361.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1792.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1225.98,$2048.00
Inpatient Rehabilitation Services,Uterine and adnexa procedures for non-malignancy without comorbid conditions or major comorbid conditions or complications,743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound of abdomen,76700,$255.00,$191.25,$122.12,$214.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$204.00,$214.20,NA,NA,NA,NA,$138.06,$135.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$178.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$122.12,$204.00
Inpatient Rehabilitation Services,"Abdominal ultrasound of pregnant uterus, greater or equal to 14 weeks 0 days, single or first fetus",76805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound pelvis through vagina,76830,$270.00,$202.50,$129.30,$226.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$216.00,$226.80,NA,NA,NA,NA,$146.18,$143.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$189.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$129.30,$216.00
Inpatient Rehabilitation Services,Mammography of one breast,77065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Mammography of both breasts,77066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Mammography, screening, bilateral",77067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Basic metabolic panel,80048,$50.00,$37.50,$23.95,$42.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40.00,$42.00,NA,NA,NA,NA,$27.07,$26.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23.95,$40.00
Inpatient Rehabilitation Services,"Blood test, comprehensive group of blood chemicals",80053,$62.00,$46.50,$29.69,$52.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49.60,$52.08,NA,NA,NA,NA,$33.57,$32.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29.69,$49.60
Inpatient Rehabilitation Services,Obstetric blood test panel,80055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Blood test, lipids",80061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Kidney function panel test,80069,$29.00,$21.75,$13.89,$24.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23.20,$24.36,NA,NA,NA,NA,$15.70,$15.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13.89,$23.20
Inpatient Rehabilitation Services,Liver function blood test panel,80076,$28.00,$21.00,$13.41,$23.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22.40,$23.52,NA,NA,NA,NA,$15.16,$14.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13.41,$22.40
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81000,$13.00,$9.75,$6.23,$10.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$10.40,$10.92,NA,NA,NA,NA,$7.04,$6.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$9.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$6.23,$10.40
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81001,$11.00,$8.25,$5.27,$9.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.80,$9.24,NA,NA,NA,NA,$5.96,$5.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$7.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$5.27,$8.80
Inpatient Rehabilitation Services,Automated urinalysis test,81002,$11.00,$8.25,$5.27,$9.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.80,$9.24,NA,NA,NA,NA,$5.96,$5.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$7.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$5.27,$8.80
Inpatient Rehabilitation Services,Automated urinalysis test,81003,$8.00,$6.00,$3.83,$6.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$6.40,$6.72,NA,NA,NA,NA,$4.33,$4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$5.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$3.83,$6.40
Inpatient Rehabilitation Services,Prostate specific antigen,84153,$62.00,$46.50,$29.69,$52.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49.60,$52.08,NA,NA,NA,NA,$33.57,$32.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29.69,$49.60
Inpatient Rehabilitation Services,Prostate specific antigen,84154,$62.00,$46.50,$29.69,$52.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49.60,$52.08,NA,NA,NA,NA,$33.57,$32.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29.69,$49.60
Inpatient Rehabilitation Services,"Blood test, thyroid stimulating hormone",84443,$57.00,$42.75,$27.30,$47.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45.60,$47.88,NA,NA,NA,NA,$30.86,$30.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27.30,$45.60
Inpatient Rehabilitation Services,"Complete blood cell count, with differential white blood cells, automated",85025,$65.00,$48.75,$31.13,$54.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52.00,$54.60,NA,NA,NA,NA,$35.19,$34.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31.13,$52.00
