Encompass Health Rehabilitation Hospital of Salisbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,CAREFIRST (GRP HOSP/MED) (BCMI) negotiated charge,CAREFIRST BCBS (BCMH) negotiated charge,CAREFIRST BCBS EXCHANGE (BCMZ) negotiated charge,CAREFIRST BLUESELECT HMO (BCBH) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICECARE MEDICARE (CHOM) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,INFORMED (INFD) negotiated charge,INNOVATIVE HEALTHWARE (INN) negotiated charge,INTEGRA GROUP (INT) negotiated charge,JOHNS HOPKINS HEALTHCARE (JHH) negotiated charge,JOHNS HOPKINS MEDICAID (JHHD) negotiated charge,MULTIPLAN (MUL) negotiated charge,ONE NET (ONT) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,RIVERSIDE HEALTH MEDICAID (RHPD) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Ultrasound examination of lower large bowel using an endoscope,45391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Spinal fusion except cervical without major comorbid conditions or complications,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Cervical spinal fusion without comorbid conditions or major comorbid conditions or complications,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of gallbladder using an endoscope,47562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Repair of groin hernia patient age 5 or older,49505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Biopsy of prostate gland,55700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Surgical removal of prostate and surrounding lymph nodes using an endoscope,55866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for vaginal delivery, including pre-and post-delivery care",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for cesarean delivery, including pre-and post-delivery care",59510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Routine obstetric care for vaginal delivery after prior cesarean delivery including pre-and post-delivery care,59610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,64483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of recurring cataract in lens capsule using laser,66821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of cataract with insertion of lens,66984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"CT scan, head or brain, without contrast",70450,$1437.00,$1077.75,$837.77,$1207.08,NA,NA,NA,NA,$1149.60,$1207.08,NA,NA,NA,$928.30,NA,NA,$1149.60,$934.05,$1077.75,NA,NA,$1005.90,$837.77,NA,NA,NA,NA,NA,$928.30,$1149.60
Inpatient Rehabilitation Services,MRI scan of brain before and after contrast,70553,$3369.00,$2526.75,$1964.13,$2829.96,NA,NA,NA,NA,$2695.20,$2829.96,NA,NA,NA,$2176.37,NA,NA,$2695.20,$2189.85,$2526.75,NA,NA,$2358.30,$1964.13,NA,NA,NA,NA,NA,$2176.37,$2695.20
Inpatient Rehabilitation Services,"X-Ray, lower back, minimum four views",72110,$255.00,$191.25,$148.67,$214.20,NA,NA,NA,NA,$204.00,$214.20,NA,NA,NA,$164.73,NA,NA,$204.00,$165.75,$191.25,NA,NA,$178.50,$148.67,NA,NA,NA,NA,NA,$164.73,$204.00
Inpatient Rehabilitation Services,MRI scan of lower spinal canal,72148,$2394.00,$1795.50,$1395.70,$2010.96,NA,NA,NA,NA,$1915.20,$2010.96,NA,NA,NA,$1546.52,NA,NA,$1915.20,$1556.10,$1795.50,NA,NA,$1675.80,$1395.70,NA,NA,NA,NA,NA,$1546.52,$1915.20
Inpatient Rehabilitation Services,"CT scan, pelvis, with contrast",72193,$1668.00,$1251.00,$972.44,$1401.12,NA,NA,NA,NA,$1334.40,$1401.12,NA,NA,NA,$1077.53,NA,NA,$1334.40,$1084.20,$1251.00,NA,NA,$1167.60,$972.44,NA,NA,NA,NA,NA,$1077.53,$1334.40
Inpatient Rehabilitation Services,MRI scan of leg joint,73721,$1849.00,$1386.75,$1077.97,$1553.16,NA,NA,NA,NA,$1479.20,$1553.16,NA,NA,NA,$1194.45,NA,NA,$1479.20,$1201.85,$1386.75,NA,NA,$1294.30,$1077.97,NA,NA,NA,NA,NA,$1194.45,$1479.20
Inpatient Rehabilitation Services,CT scan of abdomen and pelvis with contrast,74177,$1902.00,$1426.50,$1108.87,$1597.68,NA,NA,NA,NA,$1521.60,$1597.68,NA,NA,NA,$1228.69,NA,NA,$1521.60,$1236.30,$1426.50,NA,NA,$1331.40,$1108.87,NA,NA,NA,NA,NA,$1228.69,$1521.60
Inpatient Rehabilitation Services,Uterine and adnexa procedures for non-malignancy without comorbid conditions or major comorbid conditions or complications,743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound of abdomen,76700,$259.00,$194.25,$151.00,$217.56,NA,NA,NA,NA,$207.20,$217.56,NA,NA,NA,$167.31,NA,NA,$207.20,$168.35,$194.25,NA,NA,$181.30,$151.00,NA,NA,NA,NA,NA,$167.31,$207.20
Inpatient Rehabilitation Services,"Abdominal ultrasound of pregnant uterus, greater or equal to 14 weeks 0 days, single or first fetus",76805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound pelvis through vagina,76830,$270.00,$202.50,$157.41,$226.80,NA,NA,NA,NA,$216.00,$226.80,NA,NA,NA,$174.42,NA,NA,$216.00,$175.50,$202.50,NA,NA,$189.00,$157.41,NA,NA,NA,NA,NA,$174.42,$216.00
Inpatient Rehabilitation Services,Mammography of one breast,77065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Mammography of both breasts,77066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Mammography, screening, bilateral",77067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Basic metabolic panel,80048,$54.00,$40.50,$31.48,$45.36,NA,NA,NA,NA,$43.20,$45.36,NA,NA,NA,$34.88,NA,NA,$43.20,$35.10,$40.50,NA,NA,$37.80,$31.48,NA,NA,NA,NA,NA,$34.88,$43.20
Inpatient Rehabilitation Services,"Blood test, comprehensive group of blood chemicals",80053,$60.00,$45.00,$34.98,$50.40,NA,NA,NA,NA,$48.00,$50.40,NA,NA,NA,$38.76,NA,NA,$48.00,$39.00,$45.00,NA,NA,$42.00,$34.98,NA,NA,NA,NA,NA,$38.76,$48.00
Inpatient Rehabilitation Services,Obstetric blood test panel,80055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Blood test, lipids",80061,$68.00,$51.00,$39.64,$57.12,NA,NA,NA,NA,$54.40,$57.12,NA,NA,NA,$43.93,NA,NA,$54.40,$44.20,$51.00,NA,NA,$47.60,$39.64,NA,NA,NA,NA,NA,$43.93,$54.40
Inpatient Rehabilitation Services,Kidney function panel test,80069,$55.00,$41.25,$32.07,$46.20,NA,NA,NA,NA,$44.00,$46.20,NA,NA,NA,$35.53,NA,NA,$44.00,$35.75,$41.25,NA,NA,$38.50,$32.07,NA,NA,NA,NA,NA,$35.53,$44.00
Inpatient Rehabilitation Services,Liver function blood test panel,80076,$54.00,$40.50,$31.48,$45.36,NA,NA,NA,NA,$43.20,$45.36,NA,NA,NA,$34.88,NA,NA,$43.20,$35.10,$40.50,NA,NA,$37.80,$31.48,NA,NA,NA,NA,NA,$34.88,$43.20
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81000,$41.00,$30.75,$23.90,$34.44,NA,NA,NA,NA,$32.80,$34.44,NA,NA,NA,$26.49,NA,NA,$32.80,$26.65,$30.75,NA,NA,$28.70,$23.90,NA,NA,NA,NA,NA,$26.49,$32.80
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81001,$40.00,$30.00,$23.32,$33.60,NA,NA,NA,NA,$32.00,$33.60,NA,NA,NA,$25.84,NA,NA,$32.00,$26.00,$30.00,NA,NA,$28.00,$23.32,NA,NA,NA,NA,NA,$25.84,$32.00
Inpatient Rehabilitation Services,Automated urinalysis test,81002,$40.00,$30.00,$23.32,$33.60,NA,NA,NA,NA,$32.00,$33.60,NA,NA,NA,$25.84,NA,NA,$32.00,$26.00,$30.00,NA,NA,$28.00,$23.32,NA,NA,NA,NA,NA,$25.84,$32.00
Inpatient Rehabilitation Services,Automated urinalysis test,81003,$37.00,$27.75,$21.57,$31.08,NA,NA,NA,NA,$29.60,$31.08,NA,NA,NA,$23.90,NA,NA,$29.60,$24.05,$27.75,NA,NA,$25.90,$21.57,NA,NA,NA,NA,NA,$23.90,$29.60
Inpatient Rehabilitation Services,Prostate specific antigen,84153,$82.00,$61.50,$47.81,$68.88,NA,NA,NA,NA,$65.60,$68.88,NA,NA,NA,$52.97,NA,NA,$65.60,$53.30,$61.50,NA,NA,$57.40,$47.81,NA,NA,NA,NA,NA,$52.97,$65.60
Inpatient Rehabilitation Services,Prostate specific antigen,84154,$82.00,$61.50,$47.81,$68.88,NA,NA,NA,NA,$65.60,$68.88,NA,NA,NA,$52.97,NA,NA,$65.60,$53.30,$61.50,NA,NA,$57.40,$47.81,NA,NA,NA,NA,NA,$52.97,$65.60
Inpatient Rehabilitation Services,"Blood test, thyroid stimulating hormone",84443,$78.00,$58.50,$45.47,$65.52,NA,NA,NA,NA,$62.40,$65.52,NA,NA,NA,$50.39,NA,NA,$62.40,$50.70,$58.50,NA,NA,$54.60,$45.47,NA,NA,NA,NA,NA,$50.39,$62.40
Inpatient Rehabilitation Services,"Complete blood cell count, with differential white blood cells, automated",85025,$52.00,$39.00,$30.32,$43.68,NA,NA,NA,NA,$41.60,$43.68,NA,NA,NA,$33.59,NA,NA,$41.60,$33.80,$39.00,NA,NA,$36.40,$30.32,NA,NA,NA,NA,NA,$33.59,$41.60
Inpatient Rehabilitation Services,"Complete blood count, automated",85027,$49.00,$36.75,$28.57,$41.16,NA,NA,NA,NA,$39.20,$41.16,NA,NA,NA,$31.65,NA,NA,$39.20,$31.85,$36.75,NA,NA,$34.30,$28.57,NA,NA,NA,NA,NA,$31.65,$39.20
Inpatient Rehabilitation Services,"Blood test, clotting time",85610,$42.00,$31.50,$24.49,$35.28,NA,NA,NA,NA,$33.60,$35.28,NA,NA,NA,$27.13,NA,NA,$33.60,$27.30,$31.50,NA,NA,$29.40,$24.49,NA,NA,NA,NA,NA,$27.13,$33.60
Inpatient Rehabilitation Services,Coagulation assessment blood test,85730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 30 minutes",90832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 45 minutes",90834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 60 minutes",90837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, not including patient, 50 minutes",90846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, including patient, 50 min",90847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Group psychotherapy,90853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Electrocardiogram, routine, with interpretation and report",93000,$166.00,$124.50,$96.78,$139.44,NA,NA,NA,NA,$132.80,$139.44,NA,NA,NA,$107.24,NA,NA,$132.80,$107.90,$124.50,NA,NA,$116.20,$96.78,NA,NA,NA,NA,NA,$107.24,$132.80
Inpatient Rehabilitation Services,Insertion of catheter into left heart for diagnosis,93452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Sleep study,95810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Physical therapy, therapeutic exercise",97110,$87.00,$65.25,$50.72,$73.08,NA,NA,NA,NA,$69.60,$73.08,NA,NA,NA,$56.20,NA,NA,$69.60,$56.55,$65.25,NA,NA,$60.90,$50.72,NA,NA,NA,NA,NA,$56.20,$69.60
Inpatient Rehabilitation Services,"New patient office or other outpatient visit, typically 30 min",99203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 45 min",99204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 60 min",99205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 40 min",99243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 60 min",99244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 18 to 39",99385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 40 to 64",99386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-A,NA,NA,$12661.09,$14560.26,NA,NA,NA,NA,NA,NA,$12661.09,$12661.09,NA,NA,NA,$12661.09,NA,NA,NA,NA,NA,NA,NA,$14560.26,$12661.09,NA,$12661.09,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-B,NA,NA,$16677.72,$19179.37,NA,NA,NA,NA,NA,NA,$16677.72,$16677.72,NA,NA,NA,$16677.72,NA,NA,NA,NA,NA,NA,NA,$19179.37,$16677.72,NA,$16677.72,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-C,NA,NA,$14258.69,$16397.49,NA,NA,NA,NA,NA,NA,$14258.69,$14258.69,NA,NA,NA,$14258.69,NA,NA,NA,NA,NA,NA,NA,$16397.49,$14258.69,NA,$14258.69,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-D,NA,NA,$13230.28,$15214.82,NA,NA,NA,NA,NA,NA,$13230.28,$13230.28,NA,NA,NA,$13230.28,NA,NA,NA,NA,NA,NA,NA,$15214.82,$13230.28,NA,$13230.28,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-A,NA,NA,$16171.60,$18597.34,NA,NA,NA,NA,NA,NA,$16171.60,$16171.60,NA,NA,NA,$16171.60,NA,NA,NA,NA,NA,NA,NA,$18597.34,$16171.60,NA,$16171.60,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-B,NA,NA,$21302.33,$24497.68,NA,NA,NA,NA,NA,NA,$21302.33,$21302.33,NA,NA,NA,$21302.33,NA,NA,NA,NA,NA,NA,NA,$24497.68,$21302.33,NA,$21302.33,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-C,NA,NA,$18210.63,$20942.23,NA,NA,NA,NA,NA,NA,$18210.63,$18210.63,NA,NA,NA,$18210.63,NA,NA,NA,NA,NA,NA,NA,$20942.23,$18210.63,NA,$18210.63,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-D,NA,NA,$16899.25,$19434.13,NA,NA,NA,NA,NA,NA,$16899.25,$16899.25,NA,NA,NA,$16899.25,NA,NA,NA,NA,NA,NA,NA,$19434.13,$16899.25,NA,$16899.25,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-A,NA,NA,$20679.79,$23781.76,NA,NA,NA,NA,NA,NA,$20679.79,$20679.79,NA,NA,NA,$20679.79,NA,NA,NA,NA,NA,NA,NA,$23781.76,$20679.79,NA,$20679.79,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-B,NA,NA,$27239.95,$31325.94,NA,NA,NA,NA,NA,NA,$27239.95,$27239.95,NA,NA,NA,$27239.95,NA,NA,NA,NA,NA,NA,NA,$31325.94,$27239.95,NA,$27239.95,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-C,NA,NA,$23286.39,$26779.35,NA,NA,NA,NA,NA,NA,$23286.39,$23286.39,NA,NA,NA,$23286.39,NA,NA,NA,NA,NA,NA,NA,$26779.35,$23286.39,NA,$23286.39,NA,NA,NA
