Encompass Health Lakeshore Rehabilitation Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,BC FEP (BCFD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,BCBS OF AL MEDICARE ADVAN (BCAD) negotiated charge,BCBS OF ALABAMA (BCAL) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL (CVL) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY-NATIONAL (CHCN) negotiated charge,COVENTRY-SOUTHCARE (CHC) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTH CHOICE OF ALABAMA (HEAK) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,MULTIPLAN (MUL) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,ONECALL MEDICAL (OCL) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,UNITED MINE WORKERS (UMW) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Repair of groin hernia patient age 5 or older,49505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Biopsy of prostate gland,55700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Surgical removal of prostate and surrounding lymph nodes using an endoscope,55866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for vaginal delivery, including pre-and post-delivery care",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Routine obstetric care for cesarean delivery, including pre-and post-delivery care",59510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Routine obstetric care for vaginal delivery after prior cesarean delivery including pre-and post-delivery care,59610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,64483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of recurring cataract in lens capsule using laser,66821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Removal of cataract with insertion of lens,66984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"CT scan, head or brain, without contrast",70450,$1159.00,$869.25,$811.30,$1019.92,NA,NA,NA,NA,NA,NA,NA,$927.20,$973.56,NA,NA,$927.20,NA,NA,NA,NA,NA,$1019.92,NA,NA,NA,$811.30,NA,NA,$811.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,$927.20
Inpatient Rehabilitation Services,MRI scan of brain before and after contrast,70553,$1749.00,$1311.75,$1224.30,$1539.12,NA,NA,NA,NA,NA,NA,NA,$1399.20,$1469.16,NA,NA,$1399.20,NA,NA,NA,NA,NA,$1539.12,NA,NA,NA,$1224.30,NA,NA,$1224.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1399.20
Inpatient Rehabilitation Services,"X-Ray, lower back, minimum four views",72110,$196.00,$147.00,$137.20,$172.48,NA,NA,NA,NA,NA,NA,NA,$156.80,$164.64,NA,NA,$156.80,NA,NA,NA,NA,NA,$172.48,NA,NA,NA,$137.20,NA,NA,$137.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$156.80
Inpatient Rehabilitation Services,MRI scan of lower spinal canal,72148,$1414.00,$1060.50,$989.80,$1244.32,NA,NA,NA,NA,NA,NA,NA,$1131.20,$1187.76,NA,NA,$1131.20,NA,NA,NA,NA,NA,$1244.32,NA,NA,NA,$989.80,NA,NA,$989.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1131.20
Inpatient Rehabilitation Services,"CT scan, pelvis, with contrast",72193,$1351.00,$1013.25,$945.70,$1188.88,NA,NA,NA,NA,NA,NA,NA,$1080.80,$1134.84,NA,NA,$1080.80,NA,NA,NA,NA,NA,$1188.88,NA,NA,NA,$945.70,NA,NA,$945.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1080.80
Inpatient Rehabilitation Services,MRI scan of leg joint,73721,$1426.00,$1069.50,$998.20,$1254.88,NA,NA,NA,NA,NA,NA,NA,$1140.80,$1197.84,NA,NA,$1140.80,NA,NA,NA,NA,NA,$1254.88,NA,NA,NA,$998.20,NA,NA,$998.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1140.80
Inpatient Rehabilitation Services,CT scan of abdomen and pelvis with contrast,74177,$1749.00,$1311.75,$1224.30,$1539.12,NA,NA,NA,NA,NA,NA,NA,$1399.20,$1469.16,NA,NA,$1399.20,NA,NA,NA,NA,NA,$1539.12,NA,NA,NA,$1224.30,NA,NA,$1224.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1399.20
Inpatient Rehabilitation Services,Uterine and adnexa procedures for non-malignancy without comorbid conditions or major comorbid conditions or complications,743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound of abdomen,76700,$219.00,$164.25,$153.30,$192.72,NA,NA,NA,NA,NA,NA,NA,$175.20,$183.96,NA,NA,$175.20,NA,NA,NA,NA,NA,$192.72,NA,NA,NA,$153.30,NA,NA,$153.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,$175.20
Inpatient Rehabilitation Services,"Abdominal ultrasound of pregnant uterus, greater or equal to 14 weeks 0 days, single or first fetus",76805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Ultrasound pelvis through vagina,76830,$270.00,$202.50,$189.00,$237.60,NA,NA,NA,NA,NA,NA,NA,$216.00,$226.80,NA,NA,$216.00,NA,NA,NA,NA,NA,$237.60,NA,NA,NA,$189.00,NA,NA,$189.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,$216.00
Inpatient Rehabilitation Services,Mammography of one breast,77065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Mammography of both breasts,77066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Mammography, screening, bilateral",77067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Basic metabolic panel,80048,$37.00,$27.75,$25.90,$32.56,NA,NA,NA,NA,NA,NA,NA,$29.60,$31.08,NA,NA,$29.60,NA,NA,NA,NA,NA,$32.56,NA,NA,NA,$25.90,NA,NA,$25.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29.60
Inpatient Rehabilitation Services,"Blood test, comprehensive group of blood chemicals",80053,$44.00,$33.00,$30.80,$38.72,NA,NA,NA,NA,NA,NA,NA,$35.20,$36.96,NA,NA,$35.20,NA,NA,NA,NA,NA,$38.72,NA,NA,NA,$30.80,NA,NA,$30.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35.20
Inpatient Rehabilitation Services,Obstetric blood test panel,80055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Blood test, lipids",80061,$53.00,$39.75,$37.10,$46.64,NA,NA,NA,NA,NA,NA,NA,$42.40,$44.52,NA,NA,$42.40,NA,NA,NA,NA,NA,$46.64,NA,NA,NA,$37.10,NA,NA,$37.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42.40
Inpatient Rehabilitation Services,Kidney function panel test,80069,$38.00,$28.50,$26.60,$33.44,NA,NA,NA,NA,NA,NA,NA,$30.40,$31.92,NA,NA,$30.40,NA,NA,NA,NA,NA,$33.44,NA,NA,NA,$26.60,NA,NA,$26.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30.40
Inpatient Rehabilitation Services,Liver function blood test panel,80076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81000,$19.00,$14.25,$13.30,$16.72,NA,NA,NA,NA,NA,NA,NA,$15.20,$15.96,NA,NA,$15.20,NA,NA,NA,NA,NA,$16.72,NA,NA,NA,$13.30,NA,NA,$13.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15.20
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81001,$19.00,$14.25,$13.30,$16.72,NA,NA,NA,NA,NA,NA,NA,$15.20,$15.96,NA,NA,$15.20,NA,NA,NA,NA,NA,$16.72,NA,NA,NA,$13.30,NA,NA,$13.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15.20
Inpatient Rehabilitation Services,Automated urinalysis test,81002,$18.00,$13.50,$12.60,$15.84,NA,NA,NA,NA,NA,NA,NA,$14.40,$15.12,NA,NA,$14.40,NA,NA,NA,NA,NA,$15.84,NA,NA,NA,$12.60,NA,NA,$12.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14.40
Inpatient Rehabilitation Services,Automated urinalysis test,81003,$16.00,$12.00,$11.20,$14.08,NA,NA,NA,NA,NA,NA,NA,$12.80,$13.44,NA,NA,$12.80,NA,NA,NA,NA,NA,$14.08,NA,NA,NA,$11.20,NA,NA,$11.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12.80
Inpatient Rehabilitation Services,Prostate specific antigen,84153,$70.00,$52.50,$49.00,$61.60,NA,NA,NA,NA,NA,NA,NA,$56.00,$58.80,NA,NA,$56.00,NA,NA,NA,NA,NA,$61.60,NA,NA,NA,$49.00,NA,NA,$49.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,$56.00
Inpatient Rehabilitation Services,Prostate specific antigen,84154,$70.00,$52.50,$49.00,$61.60,NA,NA,NA,NA,NA,NA,NA,$56.00,$58.80,NA,NA,$56.00,NA,NA,NA,NA,NA,$61.60,NA,NA,NA,$49.00,NA,NA,$49.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,$56.00
Inpatient Rehabilitation Services,"Blood test, thyroid stimulating hormone",84443,$65.00,$48.75,$45.50,$57.20,NA,NA,NA,NA,NA,NA,NA,$52.00,$54.60,NA,NA,$52.00,NA,NA,NA,NA,NA,$57.20,NA,NA,NA,$45.50,NA,NA,$45.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52.00
Inpatient Rehabilitation Services,"Complete blood cell count, with differential white blood cells, automated",85025,$34.00,$25.50,$23.80,$29.92,NA,NA,NA,NA,NA,NA,NA,$27.20,$28.56,NA,NA,$27.20,NA,NA,NA,NA,NA,$29.92,NA,NA,NA,$23.80,NA,NA,$23.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27.20
Inpatient Rehabilitation Services,"Complete blood count, automated",85027,$30.00,$22.50,$21.00,$26.40,NA,NA,NA,NA,NA,NA,NA,$24.00,$25.20,NA,NA,$24.00,NA,NA,NA,NA,NA,$26.40,NA,NA,NA,$21.00,NA,NA,$21.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24.00
Inpatient Rehabilitation Services,"Blood test, clotting time",85610,$22.00,$16.50,$15.40,$19.36,NA,NA,NA,NA,NA,NA,NA,$17.60,$18.48,NA,NA,$17.60,NA,NA,NA,NA,NA,$19.36,NA,NA,NA,$15.40,NA,NA,$15.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17.60
Inpatient Rehabilitation Services,Coagulation assessment blood test,85730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 30 minutes",90832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 45 minutes",90834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 60 minutes",90837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, not including patient, 50 minutes",90846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, including patient, 50 min",90847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Group psychotherapy,90853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Electrocardiogram, routine, with interpretation and report",93000,$166.00,$124.50,$116.20,$146.08,NA,NA,NA,NA,NA,NA,NA,$132.80,$139.44,NA,NA,$132.80,NA,NA,NA,NA,NA,$146.08,NA,NA,NA,$116.20,NA,NA,$116.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$132.80
Inpatient Rehabilitation Services,Insertion of catheter into left heart for diagnosis,93452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Sleep study,95810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Physical therapy, therapeutic exercise",97110,$87.00,$65.25,$60.90,$76.56,NA,NA,NA,NA,NA,NA,NA,$69.60,$73.08,NA,NA,$69.60,NA,NA,NA,NA,NA,$76.56,NA,NA,NA,$60.90,NA,NA,$60.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69.60
Inpatient Rehabilitation Services,"New patient office or other outpatient visit, typically 30 min",99203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 45 min",99204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 60 min",99205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 40 min",99243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
